Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 4 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
12/2017,12/1/2017,1/1/2018,1,1,1,2,3,5,5,5,5,5,5,5,5,5,5
01/2018,1/1/2018,2/1/2018,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2
02/2018,2/1/2018,3/1/2018,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3
03/2018,3/1/2018,4/1/2018,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
04/2018,4/1/2018,5/1/2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Quarter from 04/2015,4/1/2015,7/1/2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Quarter from 07/2015,7/1/2015,10/1/2015,1,1,1,1,1,3,6,7,7,7,7,7,7,7,7
Quarter from 10/2015,10/1/2015,1/1/2016,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4
Quarter from 01/2016,1/1/2016,4/1/2016,1,1,1,1,2,4,5,5,5,5,5,5,5,5,5
Quarter from 04/2016,4/1/2016,7/1/2016,1,1,1,2,2,4,4,4,5,5,5,5,5,5,5
Quarter from 07/2016,7/1/2016,10/1/2016,1,1,1,2,2,3,3,4,5,6,6,6,6,6,6
Quarter from 10/2016,10/1/2016,1/1/2017,1,1,1,2,2,4,5,6,6,6,6,6,6,6,6
Quarter from 01/2017,1/1/2017,4/1/2017,1,1,1,2,2,4,5,6,6,6,6,6,6,6,6
Quarter from 04/2017,4/1/2017,7/1/2017,1,1,1,2,2,2,3,3,4,4,4,4,4,4,4
Quarter from 07/2017,7/1/2017,10/1/2017,1,1,1,1,1,1,3,3,4,4,4,4,4,4,4
Quarter from 10/2017,10/1/2017,1/1/2018,1,1,1,1,2,4,6,6,6,6,6,6,6,6,6
Quarter from 01/2018,1/1/2018,4/1/2018,1,1,1,2,2,3,4,4,4,4,4,4,4,4,4
