ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
1,2014-11-27T00:00:00Z,2017-03-29T00:00:00Z,Before joining CNCF,853,8626,2220,2290,4116,7690,15144,410,85,265,191,95,406,93,18,63,58,26,85,10.112543962485345,2.6025791324736227,2.6846424384525207,4.825322391559203,9.015240328253224,17.753810082063307,"jonboulle,iaguis","Red Hat,Kinvolk",2,2953,34.2337120333874333,"Red Hat,Kinvolk",6876,79.7124971017853003,"jonboulle,iaguis","Red Hat,Kinvolk",2,948,42.7027027027027027,"Red Hat,Kinvolk",1806,81.3513513513513514,"jonboulle,iaguis","Red Hat,Kinvolk",2,587,25.6331877729257642,"Red Hat,Kinvolk",1636,71.4410480349344978,"jonboulle,iaguis","Red Hat,Kinvolk",2,1418,34.4509232264334305,"Red Hat,Kinvolk",3434,83.4305150631681244,"alban,jonboulle","Kinvolk,Red Hat",2,2438,31.7035110533159948,"Red Hat,Kinvolk",6743,87.6853055916775033,"jonboulle,alban","Red Hat,Kinvolk",2,4532,29.9260433174854728,"Red Hat,Kinvolk",11662,77.0073956682514527
2,2017-03-29T00:00:00Z,2018-04-17T00:00:00Z,Since joining CNCF,384,748,156,260,332,281,1101,112,9,82,54,21,145,21,2,15,15,5,24,1.9479166666666667,0.40625,0.6770833333333334,0.8645833333333334,0.7317708333333334,2.8671875,"iaguis,lucab","Kinvolk,Red Hat",2,382,51.0695187165775401,"Red Hat,Kinvolk",495,66.1764705882352941,"iaguis,lucab","Kinvolk,Red Hat",2,119,76.2820512820512821,"Red Hat,Kinvolk",142,91.0256410256410256,"iaguis,lucab","Kinvolk,Red Hat",2,81,31.1538461538461538,"Kinvolk,Red Hat",116,44.6153846153846154,"iaguis,lucab","Kinvolk,Red Hat",2,182,54.8192771084337349,"Red Hat,Kinvolk",237,71.3855421686746988,"iaguis,alban",Kinvolk,1,144,51.2455516014234875,"Kinvolk,Red Hat",241,85.7651245551601423,"lucab,iaguis","Red Hat,Kinvolk",2,384,34.8773841961852861,"Red Hat,Kinvolk",576,52.3160762942779292
1001,2014-11-27T00:00:00Z,2015-01-01T00:00:00Z,2014,35,434,426,0,8,0,30,69,68,0,6,0,4,15,15,0,2,0,1,12.4,12.17142857142857,0,0.22857142857142856,0,0.8571428571428571,"jonboulle,kelseyhightower","Red Hat,Google",2,105,24.1935483870967742,"Red Hat,Google",138,31.7972350230414747,"jonboulle,kelseyhightower","Red Hat,Google",2,104,24.4131455399061033,"Red Hat,Google",135,31.6901408450704225,,,,,,,,,"mboersma,jonboulle","Deis,Red Hat",2,4,50.0000000000000000,"Deis,Red Hat",7,87.5000000000000000,,,,,,,,,"jonboulle,vcaputo",Red Hat,1,23,76.6666666666666667,Red Hat,18,60.0000000000000000
1002,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2015,365,4041,914,1055,2072,3437,6498,163,17,125,85,46,175,48,5,36,30,12,44,11.07123287671233,2.504109589041096,2.8904109589041096,5.676712328767123,9.416438356164383,17.802739726027397,"jonboulle,iaguis","Red Hat,Kinvolk",2,1760,43.5535758475624845,"Red Hat,Kinvolk",3386,83.7911408067310072,"jonboulle,iaguis","Red Hat,Kinvolk",2,541,59.1903719912472648,"Red Hat,Kinvolk",854,93.4354485776805252,"jonboulle,iaguis","Red Hat,Kinvolk",2,357,33.8388625592417062,"Red Hat,Kinvolk",805,76.3033175355450237,"jonboulle,iaguis","Red Hat,Kinvolk",2,862,41.6023166023166023,"Red Hat,Kinvolk",1727,83.3494208494208494,"jonboulle,krnowak","Red Hat,Kinvolk",2,1497,43.5554262438172825,"Kinvolk,Red Hat",3060,89.0311318009892348,"jonboulle,alban","Red Hat,Kinvolk",2,2613,40.2123730378578024,"Red Hat,Kinvolk",5101,78.5010772545398584
1003,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2016,366,3855,819,1150,1886,4147,7990,222,16,162,120,64,259,52,2,40,32,18,59,10.532786885245901,2.237704918032787,3.1420765027322406,5.1530054644808745,11.330601092896174,21.830601092896174,"iaguis,lucab","Kinvolk,Red Hat",2,1186,30.7652399481193256,"Red Hat,Kinvolk",3161,81.9974059662775616,"iaguis,lucab","Kinvolk,Red Hat",2,364,44.4444444444444444,"Red Hat,Kinvolk",793,96.8253968253968254,"iaguis,alban",Kinvolk,1,252,21.9130434782608696,"Red Hat,Kinvolk",789,68.6086956521739130,"iaguis,lucab","Kinvolk,Red Hat",2,588,31.1770943796394486,"Red Hat,Kinvolk",1579,83.7221633085896076,"alban,s-urbaniak","Kinvolk,Red Hat",2,1309,31.5649867374005305,"Red Hat,Kinvolk",3592,86.6168314444176513,"iaguis,alban",Kinvolk,1,1901,23.7922403003754693,"Red Hat,Kinvolk",6099,76.3329161451814768
1004,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2017,365,913,184,303,426,325,1589,122,10,90,61,25,172,25,2,18,17,7,31,2.5013698630136987,0.5041095890410959,0.8301369863013699,1.167123287671233,0.8904109589041096,4.353424657534247,"lucab,iaguis","Red Hat,Kinvolk",2,425,46.5498357064622125,"Red Hat,Kinvolk",631,69.1128148959474261,"lucab,iaguis","Red Hat,Kinvolk",2,132,71.7391304347826087,"Red Hat,Kinvolk",173,94.0217391304347826,"lucab,iaguis","Red Hat,Kinvolk",2,88,29.0429042904290429,"Red Hat,Kinvolk",140,46.2046204620462046,"lucab,iaguis","Red Hat,Kinvolk",2,205,48.1220657276995305,"Red Hat,Kinvolk",318,74.6478873239436620,"lucab,iaguis","Red Hat,Kinvolk",2,149,45.8461538461538462,"Red Hat,Kinvolk",272,83.6923076923076923,"lucab,squeed",Red Hat,1,547,34.4241661422278162,"Red Hat,Kinvolk",942,59.2825676526117055
1005,2018-01-01T00:00:00Z,2018-04-17T00:00:00Z,2018,106,131,33,42,56,62,138,35,6,20,18,7,37,6,2,3,6,2,6,1.2358490566037736,0.3113207547169811,0.39622641509433965,0.5283018867924528,0.5849056603773585,1.3018867924528301,"iaguis,lucab","Kinvolk,Red Hat",2,78,59.5419847328244275,"Kinvolk,Red Hat",92,70.2290076335877863,"iaguis,lucab","Kinvolk,Red Hat",2,25,75.7575757575757576,"Kinvolk,Red Hat",30,90.9090909090909091,"iaguis,Shashwatsh",Kinvolk,1,19,45.2380952380952381,"Kinvolk,UMCloud",18,42.8571428571428571,"iaguis,lucab","Kinvolk,Red Hat",2,36,64.2857142857142857,"Kinvolk,Red Hat",44,78.5714285714285714,"alban,iaguis",Kinvolk,1,53,85.4838709677419355,"Kinvolk,Red Hat",60,96.7741935483870968,"iaguis,lucab","Kinvolk,Red Hat",2,52,37.6811594202898551,"Kinvolk,Red Hat",78,56.5217391304347826
2001,2014-11-01T00:00:00Z,2014-12-01T00:00:00Z,11/2014,30,21,21,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0,0,0,"schwf5,Makae",,0,12,57.1428571428571429,,,,"schwf5,Makae",,0,12,57.1428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,12/2014,31,420,412,0,8,0,30,67,66,0,6,0,4,15,15,0,2,0,1,13.548387096774194,13.290322580645162,0,0.25806451612903225,0,0.967741935483871,"jonboulle,kelseyhightower","Red Hat,Google",2,105,25.0000000000000000,"Red Hat,Google",138,32.8571428571428571,"jonboulle,kelseyhightower","Red Hat,Google",2,104,25.2427184466019417,"Red Hat,Google",135,32.7669902912621359,,,,,,,,,"mboersma,jonboulle","Deis,Red Hat",2,4,50.0000000000000000,"Deis,Red Hat",7,87.5000000000000000,,,,,,,,,"jonboulle,vcaputo",Red Hat,1,23,76.6666666666666667,Red Hat,18,60.0000000000000000
2003,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,01/2015,31,344,84,52,208,268,413,25,4,18,17,11,30,9,2,7,7,5,10,11.096774193548388,2.7096774193548385,1.6774193548387097,6.709677419354839,8.64516129032258,13.32258064516129,"jonboulle,vcaputo",Red Hat,1,210,61.0465116279069767,"Red Hat,SORINT.lab",220,63.9534883720930233,"jonboulle,vcaputo",Red Hat,1,69,82.1428571428571429,"Red Hat,Google",63,75.0000000000000000,"jonboulle,eyakubovich",Red Hat,1,17,32.6923076923076923,"Red Hat,Weaveworks",33,63.4615384615384615,"jonboulle,vcaputo",Red Hat,1,125,60.0961538461538462,"Red Hat,SORINT.lab",131,62.9807692307692308,"jonboulle,vcaputo",Red Hat,1,193,72.0149253731343284,"Red Hat,Google",216,80.5970149253731343,"jonboulle,vcaputo",Red Hat,1,226,54.7215496368038741,"Red Hat,SORINT.lab",243,58.8377723970944310
2004,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,02/2015,28,259,59,60,140,103,326,22,5,16,16,12,31,4,1,3,4,3,8,9.25,2.107142857142857,2.142857142857143,5,3.6785714285714284,11.642857142857142,"jonboulle,vcaputo",Red Hat,1,118,45.5598455598455598,"Red Hat,Kinvolk",190,73.3590733590733591,"jonboulle,philips",Red Hat,1,39,66.1016949152542373,Red Hat,49,83.0508474576271186,"philips,eyakubovich",Red Hat,1,18,30.0000000000000000,"Red Hat,SORINT.lab",45,75.0000000000000000,"jonboulle,vcaputo",Red Hat,1,68,48.5714285714285714,"Red Hat,Kinvolk",96,68.5714285714285714,"jonboulle,iaguis","Red Hat,Kinvolk",2,60,58.2524271844660194,"Red Hat,Kinvolk",81,78.6407766990291262,"jonboulle,philips",Red Hat,1,128,39.2638036809815951,"Red Hat,Kinvolk",225,69.0184049079754601
2005,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,03/2015,31,402,98,96,208,207,639,25,6,20,13,13,36,7,1,3,6,3,10,12.96774193548387,3.161290322580645,3.096774193548387,6.709677419354839,6.67741935483871,20.612903225806452,"jonboulle,philips",Red Hat,1,233,57.9601990049751244,"Red Hat,Kinvolk",327,81.3432835820895522,"jonboulle,philips",Red Hat,1,76,77.5510204081632653,Red Hat,90,91.8367346938775510,"jonboulle,philips",Red Hat,1,49,51.0416666666666667,"Red Hat,Kinvolk",77,80.2083333333333333,"jonboulle,philips",Red Hat,1,108,51.9230769230769231,"Red Hat,Kinvolk",160,76.9230769230769231,"jonboulle,iaguis","Red Hat,Kinvolk",2,128,61.8357487922705314,"Red Hat,Kinvolk",180,86.9565217391304348,"jonboulle,philips",Red Hat,1,310,48.5133020344287950,"Red Hat,Kinvolk",494,77.3082942097026604
2006,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,04/2015,30,358,88,86,184,298,584,34,9,27,21,15,40,10,2,7,6,3,11,11.933333333333334,2.933333333333333,2.8666666666666667,6.133333333333334,9.933333333333334,19.466666666666665,"jonboulle,alban","Red Hat,Kinvolk",2,209,58.3798882681564246,"Red Hat,Kinvolk",314,87.7094972067039106,"jonboulle,alban","Red Hat,Kinvolk",2,66,75.0000000000000000,"Red Hat,Kinvolk",83,94.3181818181818182,"jonboulle,eyakubovich",Red Hat,1,45,52.3255813953488372,"Red Hat,Kinvolk",68,79.0697674418604651,"jonboulle,alban","Red Hat,Kinvolk",2,101,54.8913043478260870,"Red Hat,Kinvolk",163,88.5869565217391304,"jonboulle,krnowak","Red Hat,Kinvolk",2,181,60.7382550335570470,"Red Hat,Kinvolk",283,94.9664429530201342,"jonboulle,alban","Red Hat,Kinvolk",2,307,52.5684931506849315,"Red Hat,Kinvolk",452,77.3972602739726027
2007,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,05/2015,31,290,62,77,151,266,502,32,8,23,24,15,34,13,2,9,10,4,13,9.35483870967742,2,2.4838709677419355,4.870967741935484,8.580645161290322,16.193548387096776,"jonboulle,alban","Red Hat,Kinvolk",2,158,54.4827586206896552,"Red Hat,Kinvolk",252,86.8965517241379310,"jonboulle,alban","Red Hat,Kinvolk",2,46,74.1935483870967742,"Red Hat,Kinvolk",62,100.0000000000000000,"jonboulle,steveeJ",Red Hat,1,33,42.8571428571428571,"Red Hat,Kinvolk",62,80.5194805194805195,"jonboulle,alban","Red Hat,Kinvolk",2,80,52.9801324503311258,"Red Hat,Kinvolk",128,84.7682119205298013,"jonboulle,krnowak","Red Hat,Kinvolk",2,146,54.8872180451127820,"Red Hat,Kinvolk",214,80.4511278195488722,"jonboulle,alban","Red Hat,Kinvolk",2,245,48.8047808764940239,"Red Hat,Kinvolk",408,81.2749003984063745
2008,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,06/2015,30,297,64,89,144,209,566,20,6,15,13,16,37,7,2,6,6,7,13,9.9,2.1333333333333333,2.966666666666667,4.8,6.966666666666667,18.866666666666667,"jonboulle,iaguis","Red Hat,Kinvolk",2,141,47.4747474747474747,"Kinvolk,Red Hat",262,88.2154882154882155,"jonboulle,alban","Red Hat,Kinvolk",2,39,60.9375000000000000,"Red Hat,Kinvolk",63,98.4375000000000000,"jonboulle,iaguis","Red Hat,Kinvolk",2,35,39.3258426966292135,"Kinvolk,Red Hat",66,74.1573033707865169,"jonboulle,iaguis","Red Hat,Kinvolk",2,68,47.2222222222222222,"Kinvolk,Red Hat",133,92.3611111111111111,"jonboulle,alban","Red Hat,Kinvolk",2,106,50.7177033492822967,"Red Hat,Kinvolk",190,90.9090909090909091,"jonboulle,iaguis","Red Hat,Kinvolk",2,272,48.0565371024734982,"Red Hat,Kinvolk",446,78.7985865724381625
