Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
start - v0.0.5,12/17/2015,2/12/2016,Docker,"Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF"
v0.0.5 - v0.1.0,2/12/2016,3/21/2016,Docker,"Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google"
v0.1.0 - v0.2.0,3/21/2016,4/14/2016,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker
v0.2.0 - v0.2.9,4/14/2016,5/30/2017,Docker,"Docker,IBM","Docker,IBM,Cloudflare","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF"
v0.2.9 - v1.0.0-alpha0,5/30/2017,7/13/2017,Docker,"Docker,IBM","Docker,IBM,Cloudflare","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei"
v1.0.0-alpha0 - v1.0.0-alpha6,7/13/2017,8/23/2017,Docker,"Docker,IBM","Docker,IBM,Huawei","Docker,IBM,Huawei,Cloudflare","Docker,IBM,Huawei,Cloudflare","Docker,IBM,Huawei,Cloudflare","Docker,IBM,Huawei,Cloudflare","Docker,IBM,Huawei,Cloudflare","Docker,IBM,Huawei,Cloudflare","Docker,IBM,Huawei,Cloudflare","Docker,IBM,Huawei,Cloudflare","Docker,IBM,Huawei,Cloudflare","Docker,IBM,Huawei,Cloudflare","Docker,IBM,Huawei,Cloudflare","Docker,IBM,Huawei,Cloudflare"
v1.0.0-alpha6 - v1.0.0-beta.0,8/23/2017,9/6/2017,Docker,"Docker,IBM","Docker,IBM","Docker,IBM","Docker,IBM","Docker,IBM","Docker,IBM","Docker,IBM","Docker,IBM","Docker,IBM","Docker,IBM","Docker,IBM","Docker,IBM","Docker,IBM","Docker,IBM"
v1.0.0-beta.0 - v1.0.0-beta.3,9/6/2017,11/8/2017,Docker,"Docker,IBM","Docker,IBM,Tesla","Docker,IBM,Tesla,NTT","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare"
v1.0.0-beta.3 - v1.0.0,11/8/2017,12/5/2017,Docker,"Docker,IBM","Docker,IBM,Tesla","Docker,IBM,Tesla,NTT","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare"
v1.0.0 - v1.0.1,12/5/2017,1/17/2018,Docker,"Docker,IBM","Docker,IBM,Google","Docker,IBM,Google,Tesla","Docker,IBM,Google,Tesla,CNCF","Docker,IBM,Google,Tesla,CNCF,NTT,Cloudflare","Docker,IBM,Google,Tesla,CNCF,NTT,Cloudflare","Docker,IBM,Google,Tesla,CNCF,NTT,Cloudflare","Docker,IBM,Google,Tesla,CNCF,NTT,Cloudflare","Docker,IBM,Google,Tesla,CNCF,NTT,Cloudflare","Docker,IBM,Google,Tesla,CNCF,NTT,Cloudflare","Docker,IBM,Google,Tesla,CNCF,NTT,Cloudflare","Docker,IBM,Google,Tesla,CNCF,NTT,Cloudflare","Docker,IBM,Google,Tesla,CNCF,NTT,Cloudflare","Docker,IBM,Google,Tesla,CNCF,NTT,Cloudflare"
