ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
1,2014-01-02T00:00:00Z,2018-03-15T00:00:00Z,Before joining CNCF,1533,11169,5067,2207,3895,1417,6856,606,20,451,256,55,521,38,3,26,23,5,34,7.285714285714286,3.305283757338552,1.4396607958251795,2.5407697325505545,0.9243313763861709,4.472276581865623,"kozlovic,derekcollison,mcqueary,ColinSullivan1,wallyqs,aricart,chriscasper,tylertreat,petemiron,camros","Apcera,Workiva",2,9566,85.6477750917718686,"Apcera,Workiva,Automatic,JPMorgan Chase,Source{d},Namely,Red Hat,SUSE/Novell,KVH,EasyStack",9602,85.9700958008774286,"kozlovic,mcqueary,derekcollison,ColinSullivan1,aricart,chriscasper,wallyqs,tylertreat,petemiron,camros","Apcera,Workiva",2,5000,98.6777185711466351,"Apcera,Workiva,Automatic",4967,98.0264456285770673,"kozlovic,derekcollison,mcqueary,ColinSullivan1,aricart,wallyqs,glycerine,petemiron,ronag,ripienaar",Apcera,1,1265,57.3176257362936112,"Apcera,Workiva,JPMorgan Chase,Namely,Source{d},Tink,EasyStack,Media iQ Digital,Red Hat,SUSE/Novell",1238,56.0942455822383326,"kozlovic,ColinSullivan1,derekcollison,mcqueary,chriscasper,wallyqs,aricart,tylertreat,petemiron,camros","Apcera,Workiva",2,3370,86.5211810012836970,"Apcera,Workiva,JPMorgan Chase,Automatic,Source{d},Fairfax Media,KVH,Red Hat,IBM,Cisco",3406,87.4454428754813864,"kozlovic,derekcollison,ColinSullivan1,tylertreat,petemiron,wallyqs,aricart,mcqueary,lparis,sixlettervariables","Apcera,Workiva",2,1274,89.9082568807339450,"Apcera,Workiva,Apprenda,Source{d},Zenly",1279,90.2611150317572336,"kozlovic,derekcollison,ColinSullivan1,mcqueary,aricart,wallyqs,tylertreat,chriscasper,sfrooster,glycerine","Apcera,Workiva",2,4521,65.9422403733955659,"Apcera,Workiva,Source{d},JPMorgan Chase,Apprenda,Red Hat,Ericsson,Tink,Fairfax Media,Namely",4675,68.1884480746791132
2,2018-03-15T00:00:00Z,2018-04-17T00:00:00Z,Since joining CNCF,33,535,254,94,187,42,159,41,6,32,16,6,33,4,1,2,4,1,3,16.21212121212121,7.696969696969697,2.8484848484848486,5.666666666666667,1.2727272727272727,4.818181818181818,"kozlovic,wallyqs,aricart,derekcollison,ColinSullivan1,caniszczyk,Gcolliso,primalmotion,ripienaar,xizhao","Apcera,CNCF,Rev.com",3,497,92.8971962616822430,"Apcera,CNCF,Rev.com,Workiva",488,91.2149532710280374,"kozlovic,wallyqs,aricart,derekcollison,ColinSullivan1,Gcolliso",Apcera,1,254,100.0000000000000000,Apcera,252,99.2125984251968504,"kozlovic,derekcollison,wallyqs,caniszczyk,primalmotion,ripienaar,StarpTech,aricart,rFronteddu,sachinwalia2k8","Apcera,CNCF",2,70,74.4680851063829787,"Apcera,CNCF",58,61.7021276595744681,"kozlovic,wallyqs,ColinSullivan1,aricart,derekcollison,caniszczyk,Gcolliso,charliestrawn,xizhao,talnordan","Apcera,CNCF,Workiva,Rev.com",4,181,96.7914438502673797,"Apcera,Workiva,Rev.com,CNCF",178,95.1871657754010695,"kozlovic,derekcollison,ColinSullivan1,aricart,wallyqs,Gcolliso",Apcera,1,42,100.0000000000000000,Apcera,41,97.6190476190476190,"kozlovic,derekcollison,aricart,wallyqs,ColinSullivan1,camsjams,rFronteddu,caniszczyk,sega-yarkin,primalmotion","Apcera,CNCF",2,125,78.6163522012578616,"Apcera,CNCF,Active Shadow",108,67.9245283018867925
1001,2014-01-02T00:00:00Z,2015-01-01T00:00:00Z,2014,364,259,114,72,73,27,315,32,5,20,17,7,33,8,2,6,6,2,8,0.7115384615384616,0.3131868131868132,0.1978021978021978,0.20054945054945056,0.07417582417582418,0.8653846153846154,"derekcollison,fraenkel,klobucar,krobertson,mcuadros,alextoombs,lipengyuntian,philpennock,vito,hsinhoyeh","Apcera,JPMorgan Chase,Automatic,Source{d}",4,229,88.4169884169884170,"Apcera,JPMorgan Chase,Automatic,Source{d},Workiva,SUSE/Novell,Pivotal,IBM",217,83.7837837837837838,"derekcollison,klobucar,alextoombs,krobertson,philpennock","Apcera,Automatic",2,114,100.0000000000000000,"Apcera,Automatic",108,94.7368421052631579,"derekcollison,fraenkel,lipengyuntian,mcuadros,vito,hsinhoyeh,WuLonghui,Lazin,ericpromislow,tylertreat","Apcera,JPMorgan Chase,Source{d},SUSE/Novell,Workiva",5,62,86.1111111111111111,"Apcera,JPMorgan Chase,Source{d},SUSE/Novell,Workiva,Pivotal",47,65.2777777777777778,"derekcollison,fraenkel,klobucar,mcuadros,krobertson,philpennock,zrob,chendo,WuLonghui,raff","Apcera,JPMorgan Chase,Automatic,Source{d}",4,66,90.4109589041095890,"Apcera,JPMorgan Chase,Automatic,Source{d},IBM,Pivotal",62,84.9315068493150685,"derekcollison,cee-dub,mcuadros,alextoombs,krobertson,philpennock,cee-dub","Apcera,Source{d}",2,27,100.0000000000000000,"Apcera,Source{d}",19,70.3703703703703704,"derekcollison,mcuadros,fraenkel,krobertson,uhallgarn,vito,alextoombs,cee-dub,chendo,lipengyuntian","Apcera,Source{d},JPMorgan Chase",3,275,87.3015873015873016,"Apcera,Source{d},JPMorgan Chase,Pivotal,Workiva,SUSE/Novell,Automatic,IBM",256,81.2698412698412698
1002,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2015,365,1393,659,259,475,61,922,95,11,66,53,11,75,10,2,6,7,1,9,3.8164383561643835,1.8054794520547945,0.7095890410958904,1.3013698630136987,0.16712328767123288,2.526027397260274,"derekcollison,kozlovic,mcqueary,chriscasper,ColinSullivan1,wallyqs,ronag,klobucar,krobertson,camros","Apcera,Automatic",2,1218,87.4371859296482412,"Apcera,Automatic,KVH,Workiva,Huawei,JPMorgan Chase,Red Hat,HTC,Dell,Wargaming.net",1209,86.7910983488872936,"derekcollison,kozlovic,mcqueary,ColinSullivan1,chriscasper,wallyqs,klobucar,camros,levb,krobertson","Apcera,Automatic",2,658,99.8482549317147193,"Apcera,Automatic",648,98.3308042488619120,"derekcollison,ronag,kozlovic,mcqueary,wallyqs,asafyish,krobertson,Ulexus,chriscasper,jmptrader",Apcera,1,179,69.1119691119691120,"Apcera,Huawei,Workiva,KVH,JPMorgan Chase,HTC",153,59.0733590733590734,"derekcollison,chriscasper,kozlovic,ColinSullivan1,mcqueary,wallyqs,lloydde,Ulexus,ohler55,repejota",Apcera,1,400,84.2105263157894737,"Apcera,Automatic,KVH,Red Hat,JPMorgan Chase,Wargaming.net,Dell",408,85.8947368421052632,"derekcollison,Ulexus,philpennock,wallyqs,kozlovic,camros,zoni,krobertson,ronag,pkieltyka",Apcera,1,60,98.3606557377049180,Apcera,41,67.2131147540983607,"derekcollison,kozlovic,mcqueary,wallyqs,ronag,ColinSullivan1,pkieltyka,chriscasper,cmfatih,Ulexus",Apcera,1,717,77.7657266811279826,"Apcera,Krave-n,JPMorgan Chase,KVH,Automatic,Huawei,Fairfax Media,Workiva,Source{d}",689,74.7288503253796095
1003,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2016,366,4995,2401,840,1754,460,2632,245,12,171,116,26,203,18,1,11,11,3,18,13.647540983606557,6.560109289617486,2.2950819672131146,4.7923497267759565,1.2568306010928962,7.191256830601093,"mcqueary,kozlovic,derekcollison,ColinSullivan1,chriscasper,wallyqs,aricart,camros,glycerine,lparis",Apcera,1,4439,88.8688688688688689,"Apcera,Workiva,EasyStack,JPMorgan Chase,Fairfax Media,Red Hat,Tink,Netroby,Robert Koch-institut,Netlify",4327,86.6266266266266266,"mcqueary,kozlovic,derekcollison,ColinSullivan1,chriscasper,wallyqs,aricart,camros,lparis,petemiron",Apcera,1,2386,99.3752603082049146,Apcera,2319,96.5847563515201999,"mcqueary,kozlovic,derekcollison,ColinSullivan1,glycerine,aricart,wallyqs,sfrooster,ripienaar,1N50MN14",Apcera,1,540,64.2857142857142857,"Apcera,Red Hat,EasyStack,Tink,Workiva,Google,CNCF,JPMorgan Chase,Robert Koch-institut,Weaveworks",484,57.6190476190476190,"kozlovic,ColinSullivan1,derekcollison,mcqueary,chriscasper,wallyqs,aricart,camros,lparis,0taste",Apcera,1,1557,88.7685290763968073,"Apcera,Workiva,Fairfax Media,JPMorgan Chase,HPE,Cloud Dynamics,EasyStack,HTC,Netlify,Netroby",1530,87.2291904218928164,"kozlovic,derekcollison,ColinSullivan1,aricart,wallyqs,mcqueary,lparis,camros,aforward,nuss-justin",Apcera,1,425,92.3913043478260870,"Apcera,Workiva,Zenly",405,88.0434782608695652,"kozlovic,derekcollison,ColinSullivan1,mcqueary,wallyqs,aricart,sfrooster,glycerine,chriscasper,pires",Apcera,1,1931,73.3662613981762918,"Apcera,Workiva,Red Hat,Tink,JPMorgan Chase,Fairfax Media,PayPal,EasyStack,WP Engine,Ericsson",1845,70.0987841945288754
1004,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2017,365,3689,1515,859,1315,747,2453,284,9,220,100,22,258,14,2,10,7,2,15,10.106849315068493,4.1506849315068495,2.3534246575342466,3.6027397260273974,2.0465753424657533,6.720547945205479,"kozlovic,ColinSullivan1,tylertreat,aricart,wallyqs,derekcollison,mcqueary,petemiron,chriscasper,StarpTech","Apcera,Workiva",2,3153,85.4703171591217132,"Apcera,Workiva,Namely,Media iQ Digital,SUSE/Novell,Bitnami,Ericsson,Ubiwhere,Red Hat,Zenly",3158,85.6058552453239360,"kozlovic,tylertreat,aricart,ColinSullivan1,mcqueary,derekcollison,petemiron,wallyqs,chriscasper","Apcera,Workiva",2,1515,100.0000000000000000,"Apcera,Workiva",1515,100.0000000000000000,"kozlovic,ColinSullivan1,aricart,mcqueary,petemiron,tylertreat,derekcollison,wallyqs,ripienaar,StarpTech","Apcera,Workiva",2,485,56.4610011641443539,"Apcera,Workiva,Namely,Media iQ Digital,Bitnami,IEEE Computer Society,SUSE/Novell,Ubiwhere,Zenly,Infoxchange",474,55.1804423748544820,"kozlovic,ColinSullivan1,tylertreat,aricart,wallyqs,chriscasper,derekcollison,petemiron,mcqueary,sixlettervariables","Apcera,Workiva",2,1175,89.3536121673003802,"Apcera,Workiva,Ericsson,SUSE/Novell,Cisco,Red Hat,CNAMTS",1173,89.2015209125475285,"kozlovic,tylertreat,ColinSullivan1,derekcollison,petemiron,aricart,wallyqs,sixlettervariables,madgrenadier,mcqueary","Apcera,Workiva",2,724,96.9210174029451138,"Apcera,Workiva",703,94.1097724230254351,"kozlovic,ColinSullivan1,tylertreat,aricart,derekcollison,mcqueary,wallyqs,StarpTech,petemiron,ripienaar","Apcera,Workiva",2,1620,66.0415817366490012,"Apcera,Workiva,Apprenda,Namely,Ericsson,Ubiwhere,Media iQ Digital,Zenly,EasyStack,Magnet.me",1601,65.2670199755401549
1005,2018-01-01T00:00:00Z,2018-04-17T00:00:00Z,2018,106,1368,632,271,465,164,693,104,6,82,39,12,104,8,1,5,5,2,6,12.90566037735849,5.962264150943396,2.556603773584906,4.386792452830188,1.5471698113207548,6.537735849056604,"kozlovic,aricart,wallyqs,ColinSullivan1,derekcollison,StarpTech,Gcolliso,ripienaar,caniszczyk,primalmotion","Apcera,CNCF",2,1226,89.6198830409356725,"Apcera,CNCF,Rev.com,Workiva,Ubiwhere,Active Shadow,IBM,SAP",1208,88.3040935672514620,"kozlovic,aricart,wallyqs,ColinSullivan1,derekcollison,Gcolliso",Apcera,1,632,100.0000000000000000,Apcera,629,99.5253164556962025,"kozlovic,ColinSullivan1,wallyqs,aricart,derekcollison,ripienaar,StarpTech,caniszczyk,jmwilkinson,zhaoyao91","Apcera,CNCF",2,173,63.8376383763837638,"Apcera,CNCF,SAP,Active Shadow,Ubiwhere",156,57.5645756457564576,"kozlovic,aricart,wallyqs,ColinSullivan1,derekcollison,Gcolliso,devKlausS,stephenprater,mctully,martende",Apcera,1,428,92.0430107526881720,"Apcera,Rev.com,Workiva,CNCF,IBM",423,90.9677419354838710,"kozlovic,derekcollison,ColinSullivan1,wallyqs,aricart,pires,kirooha,gertcuykens,sebastien-curutchet,Gcolliso","Apcera,Apprenda",2,162,98.7804878048780488,"Apcera,Apprenda",152,92.6829268292682927,"kozlovic,ColinSullivan1,derekcollison,aricart,wallyqs,ripienaar,gertcuykens,sega-yarkin,eigood,jmwilkinson",Apcera,1,494,71.2842712842712843,"Apcera,Apprenda,CNCF,Active Shadow,Ubiwhere,PROMEDIO",436,62.9148629148629149
2001,2014-01-01T00:00:00Z,2014-02-01T00:00:00Z,01/2014,31,10,3,5,2,7,9,4,1,3,1,4,3,1,1,0,1,1,1,0.3225806451612903,0.0967741935483871,0.16129032258064516,0.06451612903225806,0.22580645161290322,0.2903225806451613,"derekcollison,vito,dliebreich,brucewoo",Apcera,1,10,100.0000000000000000,Apcera,5,50.0000000000000000,derekcollison,Apcera,1,3,100.0000000000000000,Apcera,3,100.0000000000000000,"vito,brucewoo,dliebreich",,0,5,100.0000000000000000,,,,derekcollison,Apcera,1,2,100.0000000000000000,Apcera,2,100.0000000000000000,"derekcollison,philpennock,krobertson,cee-dub",Apcera,1,7,100.0000000000000000,Apcera,6,85.7142857142857143,"derekcollison,vito,krobertson",Apcera,1,9,100.0000000000000000,Apcera,6,66.6666666666666667
2002,2014-02-01T00:00:00Z,2014-03-01T00:00:00Z,02/2014,28,11,4,7,0,0,12,3,1,3,0,0,2,1,1,1,0,0,1,0.39285714285714285,0.14285714285714285,0.25,0,0,0.42857142857142855,"derekcollison,MelvinK,hotei",Apcera,1,11,100.0000000000000000,Apcera,9,81.8181818181818182,derekcollison,Apcera,1,4,100.0000000000000000,Apcera,4,100.0000000000000000,"derekcollison,MelvinK,hotei",Apcera,1,7,100.0000000000000000,Apcera,5,71.4285714285714286,,,,,,,,,,,,,,,,,"derekcollison,vito",Apcera,1,12,100.0000000000000000,Apcera,8,66.6666666666666667
2003,2014-03-01T00:00:00Z,2014-04-01T00:00:00Z,03/2014,31,4,0,4,0,0,8,2,0,2,0,0,4,1,0,1,0,0,1,0.12903225806451613,0,0.12903225806451613,0,0,0.25806451612903225,"lipengyuntian,derekcollison",Apcera,1,4,100.0000000000000000,Apcera,1,25.0000000000000000,,,,,,,,,"lipengyuntian,derekcollison",Apcera,1,4,100.0000000000000000,Apcera,1,25.0000000000000000,,,,,,,,,,,,,,,,,"lipengyuntian,srid,krobertson,derekcollison",Apcera,1,8,100.0000000000000000,Apcera,2,25.0000000000000000
2004,2014-04-01T00:00:00Z,2014-05-01T00:00:00Z,04/2014,30,18,9,7,2,0,22,3,1,3,2,0,6,2,1,2,2,0,2,0.6,0.3,0.23333333333333334,0.06666666666666667,0,0.7333333333333333,"derekcollison,lipengyuntian,ematpl","Apcera,Pivotal",2,18,100.0000000000000000,"Apcera,Pivotal",15,83.3333333333333333,derekcollison,Apcera,1,9,100.0000000000000000,Apcera,9,100.0000000000000000,"derekcollison,lipengyuntian,ematpl","Apcera,Pivotal",2,7,100.0000000000000000,"Apcera,Pivotal",4,57.1428571428571429,"derekcollison,ematpl","Apcera,Pivotal",2,2,100.0000000000000000,"Pivotal,Apcera",2,100.0000000000000000,,,,,,,,,"derekcollison,ematpl,hiremaga,krobertson,jbayer,ematpl","Apcera,Pivotal",2,22,100.0000000000000000,"Apcera,Pivotal",20,90.9090909090909091
2005,2014-05-01T00:00:00Z,2014-06-01T00:00:00Z,05/2014,31,11,6,3,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,0.3548387096774194,0.1935483870967742,0.0967741935483871,0.06451612903225806,0.06451612903225806,0.06451612903225806,"derekcollison,krobertson",Apcera,1,11,100.0000000000000000,Apcera,11,100.0000000000000000,derekcollison,Apcera,1,6,100.0000000000000000,Apcera,6,100.0000000000000000,derekcollison,Apcera,1,3,100.0000000000000000,Apcera,3,100.0000000000000000,"derekcollison,krobertson",Apcera,1,2,100.0000000000000000,Apcera,2,100.0000000000000000,"derekcollison,krobertson",Apcera,1,2,100.0000000000000000,Apcera,2,100.0000000000000000,"derekcollison,hiremaga",Apcera,1,2,100.0000000000000000,Apcera,1,50.0000000000000000
2006,2014-06-01T00:00:00Z,2014-07-01T00:00:00Z,06/2014,30,13,9,2,2,8,15,4,2,2,2,2,3,1,1,1,0,1,1,0.43333333333333335,0.3,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.5,"alextoombs,derekcollison,hsinhoyeh,alextoombs",Apcera,1,13,100.0000000000000000,Apcera,4,30.7692307692307692,"alextoombs,derekcollison",Apcera,1,9,100.0000000000000000,Apcera,3,33.3333333333333333,"derekcollison,hsinhoyeh",Apcera,1,2,100.0000000000000000,Apcera,1,50.0000000000000000,"alextoombs,alextoombs",,0,2,100.0000000000000000,,,,"derekcollison,alextoombs",Apcera,1,8,100.0000000000000000,Apcera,5,62.5000000000000000,"derekcollison,alextoombs,hsinhoyeh",Apcera,1,15,100.0000000000000000,Apcera,8,53.3333333333333333
2007,2014-07-01T00:00:00Z,2014-08-01T00:00:00Z,07/2014,31,37,21,6,10,0,26,6,2,4,3,0,9,4,2,2,3,0,4,1.1935483870967742,0.6774193548387096,0.1935483870967742,0.3225806451612903,0,0.8387096774193549,"derekcollison,klobucar,tylertreat,hsinhoyeh,JesusIslam,simonleung8","Apcera,Automatic,Workiva,IBM",4,37,100.0000000000000000,"Apcera,Automatic,Workiva,IBM",34,91.8918918918918919,"derekcollison,klobucar","Apcera,Automatic",2,21,100.0000000000000000,"Apcera,Automatic",21,100.0000000000000000,"tylertreat,hsinhoyeh,derekcollison,JesusIslam","Workiva,Apcera",2,6,100.0000000000000000,"Workiva,Apcera",3,50.0000000000000000,"derekcollison,klobucar,simonleung8","Apcera,Automatic,IBM",3,10,100.0000000000000000,"Apcera,Automatic,IBM",10,100.0000000000000000,,,,,,,,,"derekcollison,tylertreat,hsinhoyeh,JesusIslam,klobucar,krobertson,savorywatt,simonleung8,tylertreat-wf","Apcera,Workiva,Automatic,IBM",4,26,100.0000000000000000,"Apcera,Workiva,IBM,Automatic",22,84.6153846153846154
2008,2014-08-01T00:00:00Z,2014-09-01T00:00:00Z,08/2014,31,24,10,4,10,0,17,6,3,2,5,0,9,2,1,1,1,0,3,0.7741935483870968,0.3225806451612903,0.12903225806451613,0.3225806451612903,0,0.5483870967741935,"derekcollison,krobertson,philpennock,WuLonghui,ericpromislow,ecnahc515","Apcera,SUSE/Novell",2,24,100.0000000000000000,"Apcera,SUSE/Novell",20,83.3333333333333333,"derekcollison,krobertson,philpennock",Apcera,1,10,100.0000000000000000,Apcera,10,100.0000000000000000,"ericpromislow,WuLonghui",SUSE/Novell,1,4,100.0000000000000000,SUSE/Novell,2,50.0000000000000000,"derekcollison,philpennock,WuLonghui,krobertson,ecnahc515",Apcera,1,10,100.0000000000000000,Apcera,8,80.0000000000000000,,,,,,,,,"derekcollison,krobertson,ericpromislow,WuLonghui,WuLonghui,philpennock,mattxia,zquestz,klobucar","Apcera,SUSE/Novell,Automatic",3,17,100.0000000000000000,"Apcera,SUSE/Novell,Automatic",14,82.3529411764705882
2009,2014-09-01T00:00:00Z,2014-10-01T00:00:00Z,09/2014,30,36,13,8,15,0,30,7,1,4,5,0,8,3,1,3,2,0,3,1.2,0.43333333333333335,0.26666666666666666,0.5,0,1,"derekcollison,fraenkel,zrob,chendo,zrob,mcuadros,qinguoan","Apcera,JPMorgan Chase,Source{d}",3,36,100.0000000000000000,"Apcera,JPMorgan Chase,Source{d}",31,86.1111111111111111,derekcollison,Apcera,1,13,100.0000000000000000,Apcera,13,100.0000000000000000,"derekcollison,fraenkel,mcuadros,qinguoan","Apcera,JPMorgan Chase,Source{d}",3,8,100.0000000000000000,"JPMorgan Chase,Apcera,Source{d}",7,87.5000000000000000,"derekcollison,fraenkel,zrob,zrob,chendo","Apcera,JPMorgan Chase",2,15,100.0000000000000000,"Apcera,JPMorgan Chase",11,73.3333333333333333,,,,,,,,,"derekcollison,fraenkel,chendo,zrob,krobertson,qinguoan,uhallgarn,mcuadros","Apcera,JPMorgan Chase,Source{d}",3,30,100.0000000000000000,"Apcera,JPMorgan Chase,Source{d}",23,76.6666666666666667
2010,2014-10-01T00:00:00Z,2014-11-01T00:00:00Z,10/2014,31,39,12,14,13,10,112,7,2,5,5,4,8,4,1,3,4,2,3,1.2580645161290323,0.3870967741935484,0.45161290322580644,0.41935483870967744,0.3225806451612903,3.6129032258064515,"derekcollison,mcuadros,fraenkel,krobertson,sasha-s,klobucar,cee-dub","Apcera,Source{d},JPMorgan Chase,Automatic",4,39,100.0000000000000000,"Apcera,Source{d},JPMorgan Chase,Automatic",37,94.8717948717948718,"derekcollison,krobertson",Apcera,1,12,100.0000000000000000,Apcera,12,100.0000000000000000,"derekcollison,mcuadros,fraenkel,sasha-s,cee-dub","Apcera,Source{d},JPMorgan Chase",3,14,100.0000000000000000,"Apcera,Source{d},JPMorgan Chase",12,85.7142857142857143,"derekcollison,mcuadros,krobertson,fraenkel,klobucar","Apcera,Source{d},JPMorgan Chase,Automatic",4,13,100.0000000000000000,"Apcera,Source{d},JPMorgan Chase,Automatic",13,100.0000000000000000,"cee-dub,mcuadros,krobertson,derekcollison","Source{d},Apcera",2,10,100.0000000000000000,"Source{d},Apcera",6,60.0000000000000000,"derekcollison,mcuadros,krobertson,cee-dub,fraenkel,uhallgarn,qinguoan,ricktian1226","Apcera,Source{d},JPMorgan Chase",3,112,100.0000000000000000,"Apcera,Source{d},JPMorgan Chase",99,88.3928571428571429
2011,2014-11-01T00:00:00Z,2014-12-01T00:00:00Z,11/2014,30,42,18,10,14,0,47,7,2,4,5,0,5,4,2,2,4,0,3,1.4,0.6,0.3333333333333333,0.4666666666666667,0,1.5666666666666667,"derekcollison,fraenkel,klobucar,mcuadros,Lazin,raff,ondrap","Apcera,JPMorgan Chase,Automatic,Source{d}",4,42,100.0000000000000000,"Apcera,JPMorgan Chase,Source{d},Automatic",38,90.4761904761904762,"derekcollison,klobucar","Apcera,Automatic",2,18,100.0000000000000000,"Apcera,Automatic",18,100.0000000000000000,"derekcollison,fraenkel,Lazin,ondrap","Apcera,JPMorgan Chase",2,10,100.0000000000000000,"Apcera,JPMorgan Chase",7,70.0000000000000000,"derekcollison,mcuadros,klobucar,raff,fraenkel","Apcera,Source{d},Automatic,JPMorgan Chase",4,14,100.0000000000000000,"Apcera,Source{d},Automatic,JPMorgan Chase",13,92.8571428571428571,,,,,,,,,"derekcollison,fraenkel,mcuadros,mastrolinux,Lazin","Apcera,JPMorgan Chase,Source{d}",3,47,100.0000000000000000,"Apcera,JPMorgan Chase,Source{d}",43,91.4893617021276596
2012,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,12/2014,31,14,9,2,3,0,15,3,1,1,3,0,4,1,1,1,1,0,2,0.45161290322580644,0.2903225806451613,0.06451612903225806,0.0967741935483871,0,0.4838709677419355,"derekcollison,lming,chendo",Apcera,1,14,100.0000000000000000,Apcera,12,85.7142857142857143,derekcollison,Apcera,1,9,100.0000000000000000,Apcera,9,100.0000000000000000,derekcollison,Apcera,1,2,100.0000000000000000,Apcera,2,100.0000000000000000,"derekcollison,chendo,lming",Apcera,1,3,100.0000000000000000,Apcera,1,33.3333333333333333,,,,,,,,,"derekcollison,uhallgarn,mcuadros,chendo","Apcera,Source{d}",2,15,100.0000000000000000,"Apcera,Source{d}",10,66.6666666666666667
2013,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,01/2015,31,16,8,3,5,0,4,4,1,1,4,0,3,1,1,1,1,0,2,0.5161290322580645,0.25806451612903225,0.0967741935483871,0.16129032258064516,0,0.12903225806451613,"derekcollison,xowenx,hsinhoyeh,longnguyen11288",Apcera,1,16,100.0000000000000000,Apcera,13,81.2500000000000000,derekcollison,Apcera,1,8,100.0000000000000000,Apcera,8,100.0000000000000000,derekcollison,Apcera,1,3,100.0000000000000000,Apcera,3,100.0000000000000000,"derekcollison,longnguyen11288,hsinhoyeh,xowenx",Apcera,1,5,100.0000000000000000,Apcera,2,40.0000000000000000,,,,,,,,,"derekcollison,BinaryTweedDeej,mcuadros","Apcera,Source{d}",2,4,100.0000000000000000,"Apcera,Source{d}",3,75.0000000000000000
2014,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,02/2015,28,25,9,10,6,1,21,7,2,6,3,1,7,2,2,1,2,0,4,0.8928571428571429,0.32142857142857145,0.35714285714285715,0.21428571428571427,0.03571428571428571,0.75,"derekcollison,klobucar,thedrow,rbucker,maxired,jfmatth,chendo","Apcera,Automatic",2,25,100.0000000000000000,"Apcera,Automatic",18,72.0000000000000000,"klobucar,derekcollison","Automatic,Apcera",2,9,100.0000000000000000,"Automatic,Apcera",9,100.0000000000000000,"derekcollison,thedrow,jfmatth,rbucker,chendo,maxired",Apcera,1,10,100.0000000000000000,Apcera,4,40.0000000000000000,"derekcollison,klobucar,thedrow","Apcera,Automatic",2,6,100.0000000000000000,"Apcera,Automatic",5,83.3333333333333333,lloydde,,0,1,100.0000000000000000,,,,"derekcollison,rbucker,franklinwise,chendo,fraenkel,jfmatth,klobucar","Apcera,Krave-n,JPMorgan Chase,Automatic",4,21,100.0000000000000000,"Apcera,Krave-n,JPMorgan Chase,Automatic",13,61.9047619047619048
2015,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,03/2015,31,24,5,8,11,1,27,7,2,4,4,1,7,2,1,2,1,1,1,0.7741935483870968,0.16129032258064516,0.25806451612903225,0.3548387096774194,0.03225806451612903,0.8709677419354839,"krobertson,lloydde,moitias,derekcollison,clsung,webu2014,tgregory","Apcera,HTC",2,24,100.0000000000000000,"Apcera,HTC",14,58.3333333333333333,"krobertson,derekcollison",Apcera,1,5,100.0000000000000000,Apcera,5,100.0000000000000000,"krobertson,lloydde,webu2014,clsung","Apcera,HTC",2,8,100.0000000000000000,"Apcera,HTC",6,75.0000000000000000,"lloydde,krobertson,moitias,tgregory",Apcera,1,11,100.0000000000000000,Apcera,3,27.2727272727272727,krobertson,Apcera,1,1,100.0000000000000000,Apcera,1,100.0000000000000000,"krobertson,lloydde,chendo,jfmatth,moitias,levhuan,reikje",Apcera,1,27,100.0000000000000000,Apcera,12,44.4444444444444444
