ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
1,2016-01-13T00:00:00Z,2017-01-23T00:00:00Z,Before joining CNCF,376,3346,1733,580,1033,1836,2047,78,9,63,36,22,87,16,2,12,13,8,22,8.898936170212766,4.60904255319149,1.5425531914893618,2.747340425531915,4.882978723404255,5.444148936170213,"olix0r,adleong,rmars,siggy,esbie,klingerf,gtcampbell,stevej,wmorgan,Ashald","Buoyant,Code Coup,NCBI",3,3221,96.2641960549910341,"Buoyant,Code Coup,NCBI,HomeAway.com,Ellumia,ComScore,Zalando,Vidible,Fitbit,Grovo",3260,97.4297668858338314,"olix0r,adleong,rmars,esbie,siggy,klingerf,gtcampbell,stevej,wmorgan","Buoyant,Code Coup",2,1733,100.0000000000000000,"Buoyant,Code Coup",1733,100.0000000000000000,"olix0r,adleong,rmars,siggy,wmorgan,stevej,klingerf,gtcampbell,esbie,Ashald","Buoyant,Code Coup,NCBI",3,496,85.5172413793103448,"Buoyant,Code Coup,NCBI,ComScore,HomeAway.com,Ellumia,Fitbit,Vidible,Zalando,Grovo",518,89.3103448275862069,"adleong,olix0r,rmars,esbie,siggy,klingerf,Ashald,gtcampbell,stevej,wmorgan","Buoyant,Code Coup,NCBI",3,992,96.0309777347531462,"Buoyant,Code Coup,NCBI,HomeAway.com,Zalando,Ellumia,Wheely,ComScore,DVLA,Fitbit",1010,97.7734753146176186,"adleong,olix0r,gtcampbell,klingerf,esbie,Ashald,rmars,siggy,leozc,JustinVenus","Buoyant,NCBI,Code Coup,Zalando",4,1808,98.4749455337690632,"Buoyant,NCBI,Code Coup,Zalando,Vidible,Fitbit,HomeAway.com,Radicore AB",1819,99.0740740740740741,"olix0r,adleong,klingerf,Ashald,esbie,rmars,siggy,wmorgan,gtcampbell,JustinVenus","Buoyant,NCBI,Code Coup",3,1795,87.6893014167073766,"Buoyant,NCBI,Code Coup,Zalando,ComScore,Red Hat,HomeAway.com,Ellumia,Radicore AB,Ping Identity",1850,90.3761602344894968
2,2017-01-23T00:00:00Z,2018-04-17T00:00:00Z,Since joining CNCF,449,4391,2037,1015,1339,1910,2814,221,13,185,88,46,243,41,4,30,29,19,43,9.779510022271715,4.536748329621381,2.260579064587973,2.9821826280623607,4.2538975501113585,6.267260579064588,"adleong,hawkw,siggy,olix0r,klingerf,esbie,rmars,stevej,pcalcado,deebo91","Buoyant,Code Coup",2,3877,88.2942382145297199,"Buoyant,Code Coup,NCBI,Conductor,Hackbright Academy,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando",4010,91.3231610111591893,"hawkw,adleong,siggy,olix0r,klingerf,rmars,esbie,pcalcado,deebo91,stevej","Buoyant,Code Coup",2,2018,99.0672557682866961,"Buoyant,Code Coup,NCBI,Hackbright Academy",2037,100.0000000000000000,"adleong,klingerf,siggy,esbie,hawkw,olix0r,stevej,rmars,Ashald,wmorgan","Buoyant,Code Coup,NCBI",3,696,68.5714285714285714,"Buoyant,Code Coup,NCBI,Zalando,Bigcommerce,CNCF,Hackbright Academy,Hootsuite,Planet Labs,Ellumia",746,73.4975369458128079,"adleong,siggy,hawkw,olix0r,klingerf,esbie,rmars,stevej,deebo91,pcalcado","Buoyant,Code Coup",2,1177,87.9014189693801344,"Buoyant,Code Coup,Conductor,HomeAway.com,NCBI,SoundCloud,Google,Hootsuite,HomeAdvisor,Hackbright Academy",1240,92.6064227035100822,"adleong,hawkw,olix0r,esbie,klingerf,siggy,rmars,pcalcado,stevej,deebo91","Buoyant,Code Coup",2,1769,92.6178010471204188,"Buoyant,Code Coup,SoundCloud,Planet Labs,Morten Fangel,Fitbit,NCBI,Eight-s,Hackbright Academy,Bigcommerce",1850,96.8586387434554974,"adleong,hawkw,olix0r,wmorgan,klingerf,esbie,siggy,Ashald,stevej,deebo91","Buoyant,Code Coup,NCBI",3,1870,66.4534470504619758,"Buoyant,Code Coup,NCBI,Planet Labs,Bigcommerce,Zalando,Intelerad Medical Systems,Hackbright Academy,Dell,SoundCloud",2049,72.8144989339019190
1001,2016-01-13T00:00:00Z,2017-01-01T00:00:00Z,2016,354,3033,1563,515,955,1691,1902,73,9,58,35,21,80,16,2,12,13,8,20,8.567796610169491,4.415254237288136,1.4548022598870056,2.6977401129943503,4.77683615819209,5.372881355932203,"olix0r,adleong,rmars,esbie,siggy,gtcampbell,klingerf,wmorgan,Ashald,stevej","Buoyant,Code Coup,NCBI",3,2925,96.4391691394658754,"Buoyant,Code Coup,NCBI,ComScore,Ellumia,HomeAway.com,Zalando,Fitbit,Vidible,Microsoft",2956,97.4612594790636334,"olix0r,adleong,rmars,esbie,siggy,gtcampbell,klingerf,stevej,wmorgan","Buoyant,Code Coup",2,1563,100.0000000000000000,"Buoyant,Code Coup",1563,100.0000000000000000,"olix0r,adleong,rmars,siggy,wmorgan,gtcampbell,klingerf,esbie,stevej,Ashald","Buoyant,Code Coup,NCBI",3,442,85.8252427184466019,"Buoyant,Code Coup,NCBI,ComScore,Ellumia,HomeAway.com,Vidible,Zalando,Microsoft,Grovo",462,89.7087378640776699,"adleong,olix0r,rmars,esbie,siggy,klingerf,Ashald,gtcampbell,stevej,wmorgan","Buoyant,Code Coup,NCBI",3,920,96.3350785340314136,"Buoyant,Code Coup,NCBI,Ellumia,HomeAway.com,Zalando,Fitbit,ComScore,Ping Identity,Radicore AB",932,97.5916230366492147,"olix0r,adleong,gtcampbell,klingerf,Ashald,esbie,rmars,siggy,JustinVenus,stevej","Buoyant,NCBI,Code Coup",3,1669,98.6989946777054997,"Buoyant,NCBI,Code Coup,Vidible,Fitbit,Zalando,HomeAway.com,Radicore AB",1675,99.0538143110585452,"olix0r,adleong,klingerf,Ashald,esbie,rmars,siggy,gtcampbell,wmorgan,JustinVenus","Buoyant,NCBI,Code Coup",3,1690,88.8538380651945321,"Buoyant,NCBI,Code Coup,ComScore,Red Hat,Ellumia,Radicore AB,Ping Identity,Vidible,Bigcommerce",1731,91.0094637223974763
1004,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2017,365,4225,2052,933,1240,1871,2420,189,11,162,75,39,203,38,2,27,27,17,39,11.575342465753424,5.6219178082191785,2.5561643835616437,3.3972602739726026,5.126027397260274,6.63013698630137,"adleong,hawkw,olix0r,siggy,klingerf,esbie,rmars,stevej,pcalcado,deebo91","Buoyant,Code Coup",2,3820,90.4142011834319527,"Buoyant,Code Coup,NCBI,Conductor,HomeAway.com,SoundCloud,Bigcommerce,Hootsuite,Zalando,CNCF",3917,92.7100591715976331,"hawkw,olix0r,adleong,siggy,klingerf,rmars,esbie,pcalcado,stevej,deebo91","Buoyant,Code Coup",2,2051,99.9512670565302144,"Buoyant,Code Coup",2052,100.0000000000000000,"adleong,olix0r,siggy,klingerf,esbie,hawkw,stevej,rmars,Ashald,wmorgan","Buoyant,Code Coup,NCBI",3,669,71.7041800643086817,"Buoyant,Code Coup,NCBI,CNCF,Bigcommerce,Zalando,Hootsuite,Ellumia,SoundCloud,NumberFour AG",707,75.7770632368703108,"adleong,siggy,olix0r,hawkw,klingerf,esbie,rmars,stevej,deebo91,cponomaryov","Buoyant,Code Coup,Conductor",3,1125,90.7258064516129032,"Buoyant,Code Coup,Conductor,HomeAway.com,SoundCloud,NCBI,HomeAdvisor,Hootsuite,Google,Cockroach Labs",1166,94.0322580645161290,"adleong,hawkw,olix0r,esbie,klingerf,siggy,rmars,pcalcado,stevej,ccmtaylor","Buoyant,Code Coup,SoundCloud",3,1762,94.1742383752004276,"Buoyant,Code Coup,SoundCloud,Morten Fangel,Fitbit,Zalando,NCBI,Eight-s,Bigcommerce,Form3 Financial Cloud",1836,98.1293425975414217,"adleong,hawkw,olix0r,klingerf,wmorgan,esbie,siggy,stevej,Ashald,rmars","Buoyant,Code Coup,NCBI",3,1736,71.7355371900826446,"Buoyant,Code Coup,NCBI,Zalando,Bigcommerce,Intelerad Medical Systems,HomeAway.com,Dell,Google,SoundCloud",1856,76.6942148760330579
1005,2018-01-01T00:00:00Z,2018-04-17T00:00:00Z,2018,106,479,155,147,177,184,539,56,11,44,26,17,75,9,4,7,6,6,15,4.518867924528302,1.4622641509433962,1.3867924528301887,1.669811320754717,1.7358490566037736,5.084905660377358,"adleong,hawkw,siggy,deebo91,klingerf,wmorgan,pcalcado,franziskagoltz,olix0r,edio","Buoyant,Code Coup,Hackbright Academy",3,387,80.7933194154488518,"Buoyant,Code Coup,Hackbright Academy,HomeAway.com,Planet Labs,NCBI,Variomedia AG,Zalando,AVAST Software",411,85.8037578288100209,"adleong,hawkw,deebo91,siggy,wmorgan,rmars,pcalcado,Ashald,klingerf,franziskagoltz","Buoyant,Code Coup,NCBI,Hackbright Academy",4,152,98.0645161290322581,"Buoyant,Code Coup,Hackbright Academy,NCBI",155,100.0000000000000000,"adleong,klingerf,siggy,hawkw,deebo91,Capitrium,eroji,briansmith,wmorgan,negz","Buoyant,Code Coup,Planet Labs",3,100,68.0272108843537415,"Buoyant,Code Coup,Planet Labs,Variomedia AG,Hackbright Academy,Zalando,AVAST Software",101,68.7074829931972789,"adleong,hawkw,siggy,pcalcado,wmorgan,deebo91,fantayeneh,klingerf,edio,franziskagoltz","Buoyant,Code Coup,HomeAway.com,Hackbright Academy",4,154,87.0056497175141243,"Buoyant,Code Coup,HomeAway.com,Hackbright Academy,Planet Labs,NCBI",155,87.5706214689265537,"adleong,hawkw,olix0r,negz,edio,deebo91,siggy,wmorgan,briansmith,franziskagoltz","Buoyant,Planet Labs,Code Coup,Hackbright Academy",4,171,92.9347826086956522,"Buoyant,Planet Labs,Code Coup,Hackbright Academy,HomeAway.com,NCBI",164,89.1304347826086957,"adleong,wmorgan,hawkw,deebo91,negz,edio,siggy,briansmith,shakti-das,Ashald","Buoyant,Planet Labs,Code Coup,NCBI",4,329,61.0389610389610390,"Buoyant,Planet Labs,Code Coup,NCBI,Hackbright Academy,Zalando,HomeAway.com,Variomedia AG,SoundCloud,Ellumia",331,61.4100185528756957
2002,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,02/2016,29,169,93,25,51,66,118,11,8,10,9,9,11,2,2,2,2,2,2,5.827586206896552,3.206896551724138,0.8620689655172413,1.7586206896551724,2.2758620689655173,4.068965517241379,"gtcampbell,esbie,olix0r,klingerf,siggy,adleong,rmars,stevej,liamstewart,aclemmensen","Buoyant,Code Coup",2,168,99.4082840236686391,"Buoyant,Code Coup",166,98.2248520710059172,"esbie,gtcampbell,siggy,klingerf,olix0r,adleong,stevej,rmars","Buoyant,Code Coup",2,93,100.0000000000000000,"Buoyant,Code Coup",93,100.0000000000000000,"olix0r,gtcampbell,siggy,esbie,likwid,rmars,aclemmensen,adleong,stevej,klingerf","Buoyant,Code Coup",2,25,100.0000000000000000,"Buoyant,Code Coup",23,92.0000000000000000,"gtcampbell,esbie,klingerf,olix0r,siggy,rmars,adleong,stevej,liamstewart","Buoyant,Code Coup",2,51,100.0000000000000000,"Buoyant,Code Coup",50,98.0392156862745098,"olix0r,esbie,gtcampbell,klingerf,siggy,adleong,rmars,wmorgan,stevej","Buoyant,Code Coup",2,66,100.0000000000000000,"Buoyant,Code Coup",66,100.0000000000000000,"klingerf,olix0r,siggy,esbie,gtcampbell,rmars,adleong,review-ninja,liamstewart,wmorgan","Buoyant,Code Coup",2,117,99.1525423728813559,"Buoyant,Code Coup",113,95.7627118644067797
2003,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,03/2016,31,333,186,52,95,177,184,9,7,9,7,7,9,3,2,3,2,2,2,10.741935483870968,6,1.6774193548387097,3.064516129032258,5.709677419354839,5.935483870967742,"esbie,adleong,rmars,olix0r,siggy,gtcampbell,klingerf,benley,zhao141","Buoyant,Code Coup,Fitbit",3,333,100.0000000000000000,"Buoyant,Code Coup,Fitbit",332,99.6996996996996997,"esbie,adleong,olix0r,rmars,siggy,gtcampbell,klingerf","Buoyant,Code Coup",2,186,100.0000000000000000,"Buoyant,Code Coup",186,100.0000000000000000,"rmars,olix0r,adleong,siggy,esbie,gtcampbell,klingerf,zhao141,benley","Buoyant,Code Coup,Fitbit",3,52,100.0000000000000000,"Buoyant,Code Coup,Fitbit",51,98.0769230769230769,"adleong,esbie,rmars,olix0r,siggy,gtcampbell,klingerf","Buoyant,Code Coup",2,95,100.0000000000000000,"Buoyant,Code Coup",95,100.0000000000000000,"klingerf,esbie,olix0r,adleong,rmars,siggy,gtcampbell","Buoyant,Code Coup",2,177,100.0000000000000000,"Buoyant,Code Coup",177,100.0000000000000000,"klingerf,olix0r,esbie,adleong,rmars,gtcampbell,siggy,dschobel,zhao141","Buoyant,Code Coup",2,184,100.0000000000000000,"Buoyant,Code Coup",182,98.9130434782608696
2004,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,04/2016,30,522,272,81,169,452,313,11,8,8,9,10,15,3,2,2,3,3,5,17.4,9.066666666666666,2.7,5.633333333333334,15.066666666666666,10.433333333333334,"adleong,olix0r,rmars,siggy,esbie,gtcampbell,klingerf,wmorgan,stevej,pchojnacki","Buoyant,Code Coup",2,521,99.8084291187739464,"Buoyant,Code Coup,Fitbit",521,99.8084291187739464,"adleong,olix0r,rmars,siggy,esbie,gtcampbell,klingerf,stevej","Buoyant,Code Coup",2,272,100.0000000000000000,"Buoyant,Code Coup",272,100.0000000000000000,"rmars,adleong,olix0r,siggy,klingerf,wmorgan,gtcampbell,pchojnacki","Buoyant,Code Coup",2,81,100.0000000000000000,"Buoyant,Code Coup",80,98.7654320987654321,"adleong,olix0r,rmars,siggy,esbie,gtcampbell,klingerf,stevej,benley","Buoyant,Code Coup,Fitbit",3,169,100.0000000000000000,"Buoyant,Code Coup,Fitbit",169,100.0000000000000000,"olix0r,adleong,gtcampbell,esbie,siggy,rmars,klingerf,benley,angrylogic,stevej","Buoyant,Code Coup,Fitbit",3,452,100.0000000000000000,"Buoyant,Code Coup,Fitbit",451,99.7787610619469027,"olix0r,adleong,rmars,klingerf,esbie,gtcampbell,siggy,jimmidyson,wmorgan,stevej","Buoyant,Code Coup,Red Hat",3,306,97.7635782747603834,"Buoyant,Code Coup,Red Hat,Fitbit,Radicore AB",309,98.7220447284345048
2005,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,05/2016,31,439,253,51,135,158,270,16,7,13,11,9,15,7,2,5,5,2,6,14.161290322580646,8.161290322580646,1.6451612903225807,4.354838709677419,5.096774193548387,8.709677419354838,"adleong,olix0r,siggy,rmars,gtcampbell,klingerf,wmorgan,esbie,stevej,tonyd3","Buoyant,Code Coup",2,432,98.4054669703872437,"Buoyant,Code Coup,Ellumia,Strava,DVLA,Fitbit,Radicore AB",435,99.0888382687927107,"olix0r,adleong,rmars,siggy,gtcampbell,klingerf,esbie","Buoyant,Code Coup",2,253,100.0000000000000000,"Buoyant,Code Coup",253,100.0000000000000000,"olix0r,adleong,wmorgan,siggy,gtcampbell,stevej,rmars,taion809,drewrobb,obeattie","Buoyant,Code Coup,Strava,Ellumia",4,48,94.1176470588235294,"Buoyant,Code Coup,Ellumia,Fitbit,Strava",50,98.0392156862745098,"adleong,olix0r,rmars,siggy,gtcampbell,klingerf,tonyd3,esbie,obeattie,topiaruss","Buoyant,Code Coup,Ellumia,DVLA",4,134,99.2592592592592593,"Buoyant,Code Coup,DVLA,Ellumia,Radicore AB",132,97.7777777777777778,"olix0r,klingerf,adleong,gtcampbell,rmars,esbie,stevej,lsjostro,tonyd3","Buoyant,Radicore AB",2,158,100.0000000000000000,"Buoyant,Radicore AB",157,99.3670886075949367,"olix0r,adleong,klingerf,gtcampbell,esbie,siggy,wmorgan,stevej,rmars,lsjostro","Buoyant,Code Coup,Radicore AB",3,263,97.4074074074074074,"Buoyant,Code Coup,Radicore AB,Strava,Ellumia,DVLA",267,98.8888888888888889
2006,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,06/2016,30,228,112,38,78,75,168,15,6,13,6,8,19,4,1,3,2,2,6,7.6,3.7333333333333334,1.2666666666666666,2.6,2.5,5.6,"rmars,adleong,olix0r,stevej,klingerf,wmorgan,njohns-grovo,siggy,cacoco,solidsnack","Buoyant,Grovo,Code Coup",3,223,97.8070175438596491,"Buoyant,Grovo,Code Coup,Ellumia",223,97.8070175438596491,"rmars,olix0r,adleong,klingerf,stevej,gtcampbell",Buoyant,1,112,100.0000000000000000,Buoyant,112,100.0000000000000000,"rmars,olix0r,adleong,stevej,siggy,wmorgan,njohns-grovo,cacoco,klingerf,masonoise","Buoyant,Code Coup,Grovo",3,35,92.1052631578947368,"Buoyant,Code Coup,Grovo",33,86.8421052631578947,"adleong,rmars,olix0r,klingerf,stevej,obeattie","Buoyant,Ellumia",2,78,100.0000000000000000,"Buoyant,Ellumia",78,100.0000000000000000,"adleong,olix0r,esbie,rmars,gtcampbell,klingerf,stevej,siggy","Buoyant,Code Coup",2,75,100.0000000000000000,"Buoyant,Code Coup",75,100.0000000000000000,"olix0r,adleong,wmorgan,esbie,rmars,klingerf,gtcampbell,jacob-koren,stevej,siggy","Buoyant,Code Coup",2,156,92.8571428571428571,"Buoyant,Code Coup,Grovo,Radicore AB,Ping Identity,Ellumia",156,92.8571428571428571
