Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
05/2017,5/1/2017,6/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,NCBI","Buoyant,Code Coup,NCBI,Hootsuite","Buoyant,Code Coup,NCBI,Hootsuite,HomeAdvisor","Buoyant,Code Coup,NCBI,Hootsuite,HomeAdvisor,Intelerad Medical Systems,Strava,Bigcommerce,Styra,CloudHealth Technologies","Buoyant,Code Coup,NCBI,Hootsuite,HomeAdvisor,Intelerad Medical Systems,Strava,Bigcommerce,Styra,CloudHealth Technologies","Buoyant,Code Coup,NCBI,Hootsuite,HomeAdvisor,Intelerad Medical Systems,Strava,Bigcommerce,Styra,CloudHealth Technologies","Buoyant,Code Coup,NCBI,Hootsuite,HomeAdvisor,Intelerad Medical Systems,Strava,Bigcommerce,Styra,CloudHealth Technologies","Buoyant,Code Coup,NCBI,Hootsuite,HomeAdvisor,Intelerad Medical Systems,Strava,Bigcommerce,Styra,CloudHealth Technologies","Buoyant,Code Coup,NCBI,Hootsuite,HomeAdvisor,Intelerad Medical Systems,Strava,Bigcommerce,Styra,CloudHealth Technologies","Buoyant,Code Coup,NCBI,Hootsuite,HomeAdvisor,Intelerad Medical Systems,Strava,Bigcommerce,Styra,CloudHealth Technologies","Buoyant,Code Coup,NCBI,Hootsuite,HomeAdvisor,Intelerad Medical Systems,Strava,Bigcommerce,Styra,CloudHealth Technologies","Buoyant,Code Coup,NCBI,Hootsuite,HomeAdvisor,Intelerad Medical Systems,Strava,Bigcommerce,Styra,CloudHealth Technologies","Buoyant,Code Coup,NCBI,Hootsuite,HomeAdvisor,Intelerad Medical Systems,Strava,Bigcommerce,Styra,CloudHealth Technologies"
06/2017,6/1/2017,7/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,Facebook","Buoyant,Code Coup,Facebook,Cockroach Labs","Buoyant,Code Coup,Facebook,Cockroach Labs,Zalando","Buoyant,Code Coup,Facebook,Cockroach Labs,Zalando,Bigcommerce,SalesForce,Credit Karma","Buoyant,Code Coup,Facebook,Cockroach Labs,Zalando,Bigcommerce,SalesForce,Credit Karma","Buoyant,Code Coup,Facebook,Cockroach Labs,Zalando,Bigcommerce,SalesForce,Credit Karma","Buoyant,Code Coup,Facebook,Cockroach Labs,Zalando,Bigcommerce,SalesForce,Credit Karma","Buoyant,Code Coup,Facebook,Cockroach Labs,Zalando,Bigcommerce,SalesForce,Credit Karma","Buoyant,Code Coup,Facebook,Cockroach Labs,Zalando,Bigcommerce,SalesForce,Credit Karma","Buoyant,Code Coup,Facebook,Cockroach Labs,Zalando,Bigcommerce,SalesForce,Credit Karma","Buoyant,Code Coup,Facebook,Cockroach Labs,Zalando,Bigcommerce,SalesForce,Credit Karma","Buoyant,Code Coup,Facebook,Cockroach Labs,Zalando,Bigcommerce,SalesForce,Credit Karma","Buoyant,Code Coup,Facebook,Cockroach Labs,Zalando,Bigcommerce,SalesForce,Credit Karma"
07/2017,7/1/2017,8/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,NCBI","Buoyant,Code Coup,NCBI,Allmyles","Buoyant,Code Coup,NCBI,Allmyles,Cerner","Buoyant,Code Coup,NCBI,Allmyles,Cerner,Fixate IO,PrestaShop","Buoyant,Code Coup,NCBI,Allmyles,Cerner,Fixate IO,PrestaShop","Buoyant,Code Coup,NCBI,Allmyles,Cerner,Fixate IO,PrestaShop","Buoyant,Code Coup,NCBI,Allmyles,Cerner,Fixate IO,PrestaShop","Buoyant,Code Coup,NCBI,Allmyles,Cerner,Fixate IO,PrestaShop","Buoyant,Code Coup,NCBI,Allmyles,Cerner,Fixate IO,PrestaShop","Buoyant,Code Coup,NCBI,Allmyles,Cerner,Fixate IO,PrestaShop","Buoyant,Code Coup,NCBI,Allmyles,Cerner,Fixate IO,PrestaShop","Buoyant,Code Coup,NCBI,Allmyles,Cerner,Fixate IO,PrestaShop","Buoyant,Code Coup,NCBI,Allmyles,Cerner,Fixate IO,PrestaShop"
08/2017,8/1/2017,9/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,Conductor","Buoyant,Code Coup,Conductor,Bigcommerce","Buoyant,Code Coup,Conductor,Bigcommerce,NCBI","Buoyant,Code Coup,Conductor,Bigcommerce,NCBI,SoundCloud,Zalando","Buoyant,Code Coup,Conductor,Bigcommerce,NCBI,SoundCloud,Zalando","Buoyant,Code Coup,Conductor,Bigcommerce,NCBI,SoundCloud,Zalando","Buoyant,Code Coup,Conductor,Bigcommerce,NCBI,SoundCloud,Zalando","Buoyant,Code Coup,Conductor,Bigcommerce,NCBI,SoundCloud,Zalando","Buoyant,Code Coup,Conductor,Bigcommerce,NCBI,SoundCloud,Zalando","Buoyant,Code Coup,Conductor,Bigcommerce,NCBI,SoundCloud,Zalando","Buoyant,Code Coup,Conductor,Bigcommerce,NCBI,SoundCloud,Zalando","Buoyant,Code Coup,Conductor,Bigcommerce,NCBI,SoundCloud,Zalando","Buoyant,Code Coup,Conductor,Bigcommerce,NCBI,SoundCloud,Zalando"
09/2017,9/1/2017,10/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,SoundCloud","Buoyant,Code Coup,SoundCloud,Conductor","Buoyant,Code Coup,SoundCloud,Conductor,Intelerad Medical Systems","Buoyant,Code Coup,SoundCloud,Conductor,Intelerad Medical Systems,NCBI","Buoyant,Code Coup,SoundCloud,Conductor,Intelerad Medical Systems,NCBI","Buoyant,Code Coup,SoundCloud,Conductor,Intelerad Medical Systems,NCBI","Buoyant,Code Coup,SoundCloud,Conductor,Intelerad Medical Systems,NCBI","Buoyant,Code Coup,SoundCloud,Conductor,Intelerad Medical Systems,NCBI","Buoyant,Code Coup,SoundCloud,Conductor,Intelerad Medical Systems,NCBI","Buoyant,Code Coup,SoundCloud,Conductor,Intelerad Medical Systems,NCBI","Buoyant,Code Coup,SoundCloud,Conductor,Intelerad Medical Systems,NCBI","Buoyant,Code Coup,SoundCloud,Conductor,Intelerad Medical Systems,NCBI","Buoyant,Code Coup,SoundCloud,Conductor,Intelerad Medical Systems,NCBI"
10/2017,10/1/2017,11/1/2017,Buoyant,"Buoyant,NumberFour AG","Buoyant,NumberFour AG,Code Coup","Buoyant,NumberFour AG,Code Coup,Conductor","Buoyant,NumberFour AG,Code Coup,Conductor,CNCF","Buoyant,NumberFour AG,Code Coup,Conductor,CNCF,Active Shadow,Postmates,SoundCloud,Zalando,Cisco","Buoyant,NumberFour AG,Code Coup,Conductor,CNCF,Active Shadow,Postmates,SoundCloud,Zalando,Cisco","Buoyant,NumberFour AG,Code Coup,Conductor,CNCF,Active Shadow,Postmates,SoundCloud,Zalando,Cisco","Buoyant,NumberFour AG,Code Coup,Conductor,CNCF,Active Shadow,Postmates,SoundCloud,Zalando,Cisco","Buoyant,NumberFour AG,Code Coup,Conductor,CNCF,Active Shadow,Postmates,SoundCloud,Zalando,Cisco","Buoyant,NumberFour AG,Code Coup,Conductor,CNCF,Active Shadow,Postmates,SoundCloud,Zalando,Cisco","Buoyant,NumberFour AG,Code Coup,Conductor,CNCF,Active Shadow,Postmates,SoundCloud,Zalando,Cisco","Buoyant,NumberFour AG,Code Coup,Conductor,CNCF,Active Shadow,Postmates,SoundCloud,Zalando,Cisco","Buoyant,NumberFour AG,Code Coup,Conductor,CNCF,Active Shadow,Postmates,SoundCloud,Zalando,Cisco","Buoyant,NumberFour AG,Code Coup,Conductor,CNCF,Active Shadow,Postmates,SoundCloud,Zalando,Cisco"
11/2017,11/1/2017,12/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,Hackbright Academy","Buoyant,Code Coup,Hackbright Academy,Eight-s","Buoyant,Code Coup,Hackbright Academy,Eight-s,SalesForce","Buoyant,Code Coup,Hackbright Academy,Eight-s,SalesForce","Buoyant,Code Coup,Hackbright Academy,Eight-s,SalesForce","Buoyant,Code Coup,Hackbright Academy,Eight-s,SalesForce","Buoyant,Code Coup,Hackbright Academy,Eight-s,SalesForce","Buoyant,Code Coup,Hackbright Academy,Eight-s,SalesForce","Buoyant,Code Coup,Hackbright Academy,Eight-s,SalesForce","Buoyant,Code Coup,Hackbright Academy,Eight-s,SalesForce","Buoyant,Code Coup,Hackbright Academy,Eight-s,SalesForce","Buoyant,Code Coup,Hackbright Academy,Eight-s,SalesForce","Buoyant,Code Coup,Hackbright Academy,Eight-s,SalesForce"
12/2017,12/1/2017,1/1/2018,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,Ellumia","Buoyant,Code Coup,Ellumia,CloudHealth Technologies","Buoyant,Code Coup,Ellumia,CloudHealth Technologies,Morten Fangel","Buoyant,Code Coup,Ellumia,CloudHealth Technologies,Morten Fangel","Buoyant,Code Coup,Ellumia,CloudHealth Technologies,Morten Fangel","Buoyant,Code Coup,Ellumia,CloudHealth Technologies,Morten Fangel","Buoyant,Code Coup,Ellumia,CloudHealth Technologies,Morten Fangel","Buoyant,Code Coup,Ellumia,CloudHealth Technologies,Morten Fangel","Buoyant,Code Coup,Ellumia,CloudHealth Technologies,Morten Fangel","Buoyant,Code Coup,Ellumia,CloudHealth Technologies,Morten Fangel","Buoyant,Code Coup,Ellumia,CloudHealth Technologies,Morten Fangel","Buoyant,Code Coup,Ellumia,CloudHealth Technologies,Morten Fangel","Buoyant,Code Coup,Ellumia,CloudHealth Technologies,Morten Fangel"
01/2018,1/1/2018,2/1/2018,Buoyant,"Buoyant,Hackbright Academy","Buoyant,Hackbright Academy,Code Coup","Buoyant,Hackbright Academy,Code Coup,Planet Labs","Buoyant,Hackbright Academy,Code Coup,Planet Labs","Buoyant,Hackbright Academy,Code Coup,Planet Labs","Buoyant,Hackbright Academy,Code Coup,Planet Labs","Buoyant,Hackbright Academy,Code Coup,Planet Labs","Buoyant,Hackbright Academy,Code Coup,Planet Labs","Buoyant,Hackbright Academy,Code Coup,Planet Labs","Buoyant,Hackbright Academy,Code Coup,Planet Labs","Buoyant,Hackbright Academy,Code Coup,Planet Labs","Buoyant,Hackbright Academy,Code Coup,Planet Labs","Buoyant,Hackbright Academy,Code Coup,Planet Labs","Buoyant,Hackbright Academy,Code Coup,Planet Labs"
02/2018,2/1/2018,3/1/2018,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,NCBI","Buoyant,Code Coup,NCBI,HomeAway.com","Buoyant,Code Coup,NCBI,HomeAway.com,Planet Labs","Buoyant,Code Coup,NCBI,HomeAway.com,Planet Labs,Zalando,Variomedia AG,AVAST Software","Buoyant,Code Coup,NCBI,HomeAway.com,Planet Labs,Zalando,Variomedia AG,AVAST Software","Buoyant,Code Coup,NCBI,HomeAway.com,Planet Labs,Zalando,Variomedia AG,AVAST Software","Buoyant,Code Coup,NCBI,HomeAway.com,Planet Labs,Zalando,Variomedia AG,AVAST Software","Buoyant,Code Coup,NCBI,HomeAway.com,Planet Labs,Zalando,Variomedia AG,AVAST Software","Buoyant,Code Coup,NCBI,HomeAway.com,Planet Labs,Zalando,Variomedia AG,AVAST Software","Buoyant,Code Coup,NCBI,HomeAway.com,Planet Labs,Zalando,Variomedia AG,AVAST Software","Buoyant,Code Coup,NCBI,HomeAway.com,Planet Labs,Zalando,Variomedia AG,AVAST Software","Buoyant,Code Coup,NCBI,HomeAway.com,Planet Labs,Zalando,Variomedia AG,AVAST Software","Buoyant,Code Coup,NCBI,HomeAway.com,Planet Labs,Zalando,Variomedia AG,AVAST Software"
03/2018,3/1/2018,4/1/2018,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,HomeAway.com","Buoyant,Code Coup,HomeAway.com,Variomedia AG","Buoyant,Code Coup,HomeAway.com,Variomedia AG,Planet Labs","Buoyant,Code Coup,HomeAway.com,Variomedia AG,Planet Labs","Buoyant,Code Coup,HomeAway.com,Variomedia AG,Planet Labs","Buoyant,Code Coup,HomeAway.com,Variomedia AG,Planet Labs","Buoyant,Code Coup,HomeAway.com,Variomedia AG,Planet Labs","Buoyant,Code Coup,HomeAway.com,Variomedia AG,Planet Labs","Buoyant,Code Coup,HomeAway.com,Variomedia AG,Planet Labs","Buoyant,Code Coup,HomeAway.com,Variomedia AG,Planet Labs","Buoyant,Code Coup,HomeAway.com,Variomedia AG,Planet Labs","Buoyant,Code Coup,HomeAway.com,Variomedia AG,Planet Labs","Buoyant,Code Coup,HomeAway.com,Variomedia AG,Planet Labs"
04/2018,4/1/2018,5/1/2018,Buoyant,"Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy"
Quarter from 01/2016,1/1/2016,4/1/2016,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit","Buoyant,Code Coup,Fitbit"
Quarter from 04/2016,4/1/2016,7/1/2016,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,Ellumia","Buoyant,Code Coup,Ellumia,Fitbit","Buoyant,Code Coup,Ellumia,Fitbit,Grovo","Buoyant,Code Coup,Ellumia,Fitbit,Grovo,Radicore AB,DVLA,Strava","Buoyant,Code Coup,Ellumia,Fitbit,Grovo,Radicore AB,DVLA,Strava","Buoyant,Code Coup,Ellumia,Fitbit,Grovo,Radicore AB,DVLA,Strava","Buoyant,Code Coup,Ellumia,Fitbit,Grovo,Radicore AB,DVLA,Strava","Buoyant,Code Coup,Ellumia,Fitbit,Grovo,Radicore AB,DVLA,Strava","Buoyant,Code Coup,Ellumia,Fitbit,Grovo,Radicore AB,DVLA,Strava","Buoyant,Code Coup,Ellumia,Fitbit,Grovo,Radicore AB,DVLA,Strava","Buoyant,Code Coup,Ellumia,Fitbit,Grovo,Radicore AB,DVLA,Strava","Buoyant,Code Coup,Ellumia,Fitbit,Grovo,Radicore AB,DVLA,Strava","Buoyant,Code Coup,Ellumia,Fitbit,Grovo,Radicore AB,DVLA,Strava"
Quarter from 07/2016,7/1/2016,10/1/2016,Buoyant,"Buoyant,NCBI","Buoyant,NCBI,Code Coup","Buoyant,NCBI,Code Coup,HomeAway.com","Buoyant,NCBI,Code Coup,HomeAway.com,ComScore","Buoyant,NCBI,Code Coup,HomeAway.com,ComScore,Ellumia,Vidible,Zalando","Buoyant,NCBI,Code Coup,HomeAway.com,ComScore,Ellumia,Vidible,Zalando","Buoyant,NCBI,Code Coup,HomeAway.com,ComScore,Ellumia,Vidible,Zalando","Buoyant,NCBI,Code Coup,HomeAway.com,ComScore,Ellumia,Vidible,Zalando","Buoyant,NCBI,Code Coup,HomeAway.com,ComScore,Ellumia,Vidible,Zalando","Buoyant,NCBI,Code Coup,HomeAway.com,ComScore,Ellumia,Vidible,Zalando","Buoyant,NCBI,Code Coup,HomeAway.com,ComScore,Ellumia,Vidible,Zalando","Buoyant,NCBI,Code Coup,HomeAway.com,ComScore,Ellumia,Vidible,Zalando","Buoyant,NCBI,Code Coup,HomeAway.com,ComScore,Ellumia,Vidible,Zalando","Buoyant,NCBI,Code Coup,HomeAway.com,ComScore,Ellumia,Vidible,Zalando"
Quarter from 10/2016,10/1/2016,1/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,Zalando","Buoyant,Code Coup,Zalando,ComScore","Buoyant,Code Coup,Zalando,ComScore,Microsoft","Buoyant,Code Coup,Zalando,ComScore,Microsoft,Ping Identity,Wheely,NCBI","Buoyant,Code Coup,Zalando,ComScore,Microsoft,Ping Identity,Wheely,NCBI","Buoyant,Code Coup,Zalando,ComScore,Microsoft,Ping Identity,Wheely,NCBI","Buoyant,Code Coup,Zalando,ComScore,Microsoft,Ping Identity,Wheely,NCBI","Buoyant,Code Coup,Zalando,ComScore,Microsoft,Ping Identity,Wheely,NCBI","Buoyant,Code Coup,Zalando,ComScore,Microsoft,Ping Identity,Wheely,NCBI","Buoyant,Code Coup,Zalando,ComScore,Microsoft,Ping Identity,Wheely,NCBI","Buoyant,Code Coup,Zalando,ComScore,Microsoft,Ping Identity,Wheely,NCBI","Buoyant,Code Coup,Zalando,ComScore,Microsoft,Ping Identity,Wheely,NCBI","Buoyant,Code Coup,Zalando,ComScore,Microsoft,Ping Identity,Wheely,NCBI"
Quarter from 01/2017,1/1/2017,4/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,HomeAway.com","Buoyant,Code Coup,HomeAway.com,NCBI","Buoyant,Code Coup,HomeAway.com,NCBI,Google","Buoyant,Code Coup,HomeAway.com,NCBI,Google,CNCF,Fitbit,Hootsuite,Zalando,Box","Buoyant,Code Coup,HomeAway.com,NCBI,Google,CNCF,Fitbit,Hootsuite,Zalando,Box,Form3 Financial Cloud,PrestaShop,Styra","Buoyant,Code Coup,HomeAway.com,NCBI,Google,CNCF,Fitbit,Hootsuite,Zalando,Box,Form3 Financial Cloud,PrestaShop,Styra","Buoyant,Code Coup,HomeAway.com,NCBI,Google,CNCF,Fitbit,Hootsuite,Zalando,Box,Form3 Financial Cloud,PrestaShop,Styra","Buoyant,Code Coup,HomeAway.com,NCBI,Google,CNCF,Fitbit,Hootsuite,Zalando,Box,Form3 Financial Cloud,PrestaShop,Styra","Buoyant,Code Coup,HomeAway.com,NCBI,Google,CNCF,Fitbit,Hootsuite,Zalando,Box,Form3 Financial Cloud,PrestaShop,Styra","Buoyant,Code Coup,HomeAway.com,NCBI,Google,CNCF,Fitbit,Hootsuite,Zalando,Box,Form3 Financial Cloud,PrestaShop,Styra","Buoyant,Code Coup,HomeAway.com,NCBI,Google,CNCF,Fitbit,Hootsuite,Zalando,Box,Form3 Financial Cloud,PrestaShop,Styra","Buoyant,Code Coup,HomeAway.com,NCBI,Google,CNCF,Fitbit,Hootsuite,Zalando,Box,Form3 Financial Cloud,PrestaShop,Styra","Buoyant,Code Coup,HomeAway.com,NCBI,Google,CNCF,Fitbit,Hootsuite,Zalando,Box,Form3 Financial Cloud,PrestaShop,Styra"
Quarter from 04/2017,4/1/2017,7/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,NCBI","Buoyant,Code Coup,NCBI,Hootsuite","Buoyant,Code Coup,NCBI,Hootsuite,Bigcommerce","Buoyant,Code Coup,NCBI,Hootsuite,Bigcommerce,Zalando,HomeAway.com,HomeAdvisor,CloudHealth Technologies,Cockroach Labs","Buoyant,Code Coup,NCBI,Hootsuite,Bigcommerce,Zalando,HomeAway.com,HomeAdvisor,CloudHealth Technologies,Cockroach Labs,Facebook,Form3 Financial Cloud,Intelerad Medical Systems,CNCF,Credit Karma","Buoyant,Code Coup,NCBI,Hootsuite,Bigcommerce,Zalando,HomeAway.com,HomeAdvisor,CloudHealth Technologies,Cockroach Labs,Facebook,Form3 Financial Cloud,Intelerad Medical Systems,CNCF,Credit Karma,Kickback,ResearchGate,SalesForce,Strava,Styra","Buoyant,Code Coup,NCBI,Hootsuite,Bigcommerce,Zalando,HomeAway.com,HomeAdvisor,CloudHealth Technologies,Cockroach Labs,Facebook,Form3 Financial Cloud,Intelerad Medical Systems,CNCF,Credit Karma,Kickback,ResearchGate,SalesForce,Strava,Styra,Walt Disney","Buoyant,Code Coup,NCBI,Hootsuite,Bigcommerce,Zalando,HomeAway.com,HomeAdvisor,CloudHealth Technologies,Cockroach Labs,Facebook,Form3 Financial Cloud,Intelerad Medical Systems,CNCF,Credit Karma,Kickback,ResearchGate,SalesForce,Strava,Styra,Walt Disney","Buoyant,Code Coup,NCBI,Hootsuite,Bigcommerce,Zalando,HomeAway.com,HomeAdvisor,CloudHealth Technologies,Cockroach Labs,Facebook,Form3 Financial Cloud,Intelerad Medical Systems,CNCF,Credit Karma,Kickback,ResearchGate,SalesForce,Strava,Styra,Walt Disney","Buoyant,Code Coup,NCBI,Hootsuite,Bigcommerce,Zalando,HomeAway.com,HomeAdvisor,CloudHealth Technologies,Cockroach Labs,Facebook,Form3 Financial Cloud,Intelerad Medical Systems,CNCF,Credit Karma,Kickback,ResearchGate,SalesForce,Strava,Styra,Walt Disney","Buoyant,Code Coup,NCBI,Hootsuite,Bigcommerce,Zalando,HomeAway.com,HomeAdvisor,CloudHealth Technologies,Cockroach Labs,Facebook,Form3 Financial Cloud,Intelerad Medical Systems,CNCF,Credit Karma,Kickback,ResearchGate,SalesForce,Strava,Styra,Walt Disney","Buoyant,Code Coup,NCBI,Hootsuite,Bigcommerce,Zalando,HomeAway.com,HomeAdvisor,CloudHealth Technologies,Cockroach Labs,Facebook,Form3 Financial Cloud,Intelerad Medical Systems,CNCF,Credit Karma,Kickback,ResearchGate,SalesForce,Strava,Styra,Walt Disney","Buoyant,Code Coup,NCBI,Hootsuite,Bigcommerce,Zalando,HomeAway.com,HomeAdvisor,CloudHealth Technologies,Cockroach Labs,Facebook,Form3 Financial Cloud,Intelerad Medical Systems,CNCF,Credit Karma,Kickback,ResearchGate,SalesForce,Strava,Styra,Walt Disney"
Quarter from 07/2017,7/1/2017,10/1/2017,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,Conductor","Buoyant,Code Coup,Conductor,SoundCloud","Buoyant,Code Coup,Conductor,SoundCloud,NCBI","Buoyant,Code Coup,Conductor,SoundCloud,NCBI,Bigcommerce,Allmyles,PrestaShop,Intelerad Medical Systems,Fixate IO","Buoyant,Code Coup,Conductor,SoundCloud,NCBI,Bigcommerce,Allmyles,PrestaShop,Intelerad Medical Systems,Fixate IO,Cerner,Zalando","Buoyant,Code Coup,Conductor,SoundCloud,NCBI,Bigcommerce,Allmyles,PrestaShop,Intelerad Medical Systems,Fixate IO,Cerner,Zalando","Buoyant,Code Coup,Conductor,SoundCloud,NCBI,Bigcommerce,Allmyles,PrestaShop,Intelerad Medical Systems,Fixate IO,Cerner,Zalando","Buoyant,Code Coup,Conductor,SoundCloud,NCBI,Bigcommerce,Allmyles,PrestaShop,Intelerad Medical Systems,Fixate IO,Cerner,Zalando","Buoyant,Code Coup,Conductor,SoundCloud,NCBI,Bigcommerce,Allmyles,PrestaShop,Intelerad Medical Systems,Fixate IO,Cerner,Zalando","Buoyant,Code Coup,Conductor,SoundCloud,NCBI,Bigcommerce,Allmyles,PrestaShop,Intelerad Medical Systems,Fixate IO,Cerner,Zalando","Buoyant,Code Coup,Conductor,SoundCloud,NCBI,Bigcommerce,Allmyles,PrestaShop,Intelerad Medical Systems,Fixate IO,Cerner,Zalando","Buoyant,Code Coup,Conductor,SoundCloud,NCBI,Bigcommerce,Allmyles,PrestaShop,Intelerad Medical Systems,Fixate IO,Cerner,Zalando","Buoyant,Code Coup,Conductor,SoundCloud,NCBI,Bigcommerce,Allmyles,PrestaShop,Intelerad Medical Systems,Fixate IO,Cerner,Zalando"
Quarter from 10/2017,10/1/2017,1/1/2018,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,Ellumia","Buoyant,Code Coup,Ellumia,NumberFour AG","Buoyant,Code Coup,Ellumia,NumberFour AG,Hackbright Academy","Buoyant,Code Coup,Ellumia,NumberFour AG,Hackbright Academy,Conductor,SalesForce,Zalando,Active Shadow,Postmates","Buoyant,Code Coup,Ellumia,NumberFour AG,Hackbright Academy,Conductor,SalesForce,Zalando,Active Shadow,Postmates,SoundCloud,Eight-s,Cisco,Morten Fangel,CNCF","Buoyant,Code Coup,Ellumia,NumberFour AG,Hackbright Academy,Conductor,SalesForce,Zalando,Active Shadow,Postmates,SoundCloud,Eight-s,Cisco,Morten Fangel,CNCF,CloudHealth Technologies","Buoyant,Code Coup,Ellumia,NumberFour AG,Hackbright Academy,Conductor,SalesForce,Zalando,Active Shadow,Postmates,SoundCloud,Eight-s,Cisco,Morten Fangel,CNCF,CloudHealth Technologies","Buoyant,Code Coup,Ellumia,NumberFour AG,Hackbright Academy,Conductor,SalesForce,Zalando,Active Shadow,Postmates,SoundCloud,Eight-s,Cisco,Morten Fangel,CNCF,CloudHealth Technologies","Buoyant,Code Coup,Ellumia,NumberFour AG,Hackbright Academy,Conductor,SalesForce,Zalando,Active Shadow,Postmates,SoundCloud,Eight-s,Cisco,Morten Fangel,CNCF,CloudHealth Technologies","Buoyant,Code Coup,Ellumia,NumberFour AG,Hackbright Academy,Conductor,SalesForce,Zalando,Active Shadow,Postmates,SoundCloud,Eight-s,Cisco,Morten Fangel,CNCF,CloudHealth Technologies","Buoyant,Code Coup,Ellumia,NumberFour AG,Hackbright Academy,Conductor,SalesForce,Zalando,Active Shadow,Postmates,SoundCloud,Eight-s,Cisco,Morten Fangel,CNCF,CloudHealth Technologies","Buoyant,Code Coup,Ellumia,NumberFour AG,Hackbright Academy,Conductor,SalesForce,Zalando,Active Shadow,Postmates,SoundCloud,Eight-s,Cisco,Morten Fangel,CNCF,CloudHealth Technologies","Buoyant,Code Coup,Ellumia,NumberFour AG,Hackbright Academy,Conductor,SalesForce,Zalando,Active Shadow,Postmates,SoundCloud,Eight-s,Cisco,Morten Fangel,CNCF,CloudHealth Technologies"
Quarter from 01/2018,1/1/2018,4/1/2018,Buoyant,"Buoyant,Code Coup","Buoyant,Code Coup,Hackbright Academy","Buoyant,Code Coup,Hackbright Academy,HomeAway.com","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,NCBI","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,NCBI,Planet Labs,Variomedia AG,Zalando,AVAST Software","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,NCBI,Planet Labs,Variomedia AG,Zalando,AVAST Software","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,NCBI,Planet Labs,Variomedia AG,Zalando,AVAST Software","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,NCBI,Planet Labs,Variomedia AG,Zalando,AVAST Software","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,NCBI,Planet Labs,Variomedia AG,Zalando,AVAST Software","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,NCBI,Planet Labs,Variomedia AG,Zalando,AVAST Software","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,NCBI,Planet Labs,Variomedia AG,Zalando,AVAST Software","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,NCBI,Planet Labs,Variomedia AG,Zalando,AVAST Software","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,NCBI,Planet Labs,Variomedia AG,Zalando,AVAST Software","Buoyant,Code Coup,Hackbright Academy,HomeAway.com,NCBI,Planet Labs,Variomedia AG,Zalando,AVAST Software"
Quarter from 04/2018,4/1/2018,7/1/2018,Buoyant,"Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy","Buoyant,Hackbright Academy"
