date_from,date_to,release,n_top_contributing_coms 1,n_top_contributing_coms 2,n_top_contributing_coms 3,n_top_contributing_coms 5,n_top_contributing_coms 10,n_top_contributing_coms 15,n_top_contributing_coms 20,n_top_contributing_coms 25,n_top_contributing_coms 30,n_top_contributing_coms 50,n_top_contributing_coms 100,n_top_contributing_coms 200,n_top_contributing_coms 500,n_top_contributing_coms 1000,top_contributions_perc 1,top_contributions_perc 2,top_contributions_perc 3,top_contributions_perc 5,top_contributions_perc 10,top_contributions_perc 15,top_contributions_perc 20,top_contributions_perc 25,top_contributions_perc 30,top_contributions_perc 50,top_contributions_perc 100,top_contributions_perc 200,top_contributions_perc 500,top_contributions_perc 1000
2014-06-01T00:00:00Z,2014-07-01T00:00:00Z,2014-06-01,1,1,1,2,4,6,7,9,11,18,18,18,18,18,30.7955517536355860,59.2814371257485030,67.7502138579982891,80.5816937553464500,88.5372112917023097,92.6432848588537211,94.7818648417450813,96.1505560307955518,97.1770744225834046,99.9144568006843456,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-07-01T00:00:00Z,2014-08-01T00:00:00Z,2014-07-01,1,1,2,2,2,3,5,6,8,11,20,20,20,20,20.0403836446239273,37.8091872791519435,48.2584553255931348,60.0201918223119637,72.7410398788490661,80.8682483594144372,85.8152448258455326,89.5507319535588087,92.0747097425542655,96.9207470974255427,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-08-01T00:00:00Z,2014-09-01T00:00:00Z,2014-08-01,1,1,2,2,2,2,2,3,4,12,24,24,24,24,17.3454719693339722,32.3909918543363680,43.6511739338763776,55.9175850503114518,71.6339242932438908,80.4983229516051749,85.6732151413512218,89.3627216099664590,91.6626736942980355,96.6938188787733589,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-09-01T00:00:00Z,2014-10-01T00:00:00Z,2014-09-01,1,1,1,2,2,4,5,6,8,11,24,25,25,25,18.6424474187380497,27.7246653919694073,36.3288718929254302,49.3307839388145315,63.9579349904397706,73.8049713193116635,80.7839388145315488,85.5162523900573614,88.7667304015296367,95.3632887189292543,99.9521988527724665,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-10-01T00:00:00Z,2014-11-01T00:00:00Z,2014-10-01,1,1,1,1,2,3,4,5,7,13,27,27,27,27,11.2459835772938236,20.9568011424491253,30.2749018207782935,45.1624419850053552,68.1185290967511603,80.6854694751874331,86.7904319885755087,90.4676901106747590,92.6811852909675116,96.7511602998928954,99.5358800428418422,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-11-01T00:00:00Z,2014-12-01T00:00:00Z,2014-11-01,1,1,1,1,2,3,3,4,6,12,32,37,37,37,11.2770724421209858,20.4256908140403286,27.7819268110530246,41.0380881254667662,61.1650485436893204,73.8984316654219567,79.6116504854368932,84.0926064227035101,87.4906646751306945,93.9507094846900672,98.8797610156833458,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2014-12-01,1,1,1,2,2,3,5,6,7,14,31,36,36,36,14.1600000000000000,23.4400000000000000,29.7200000000000000,39.0000000000000000,52.6400000000000000,63.4000000000000000,70.7600000000000000,77.1200000000000000,81.9200000000000000,91.4400000000000000,98.4800000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-01-01,1,1,1,1,2,2,3,4,5,9,28,37,37,37,12.3595505617977528,22.4208375893769152,30.8478038815117467,44.8416751787538304,70.2757916241062308,79.0602655771195097,83.6057201225740552,87.1807967313585291,89.4790602655771195,94.0245148110316650,98.5699693564862104,100.0000000000000000,100.0000000000000000,100.0000000000000000
2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-02-01,1,1,1,2,3,3,3,4,5,8,27,41,41,41,8.6880210618692409,16.9372531812198333,25.1864853005704256,34.7082053532250987,54.7169811320754717,67.7490127248793330,76.7003071522597631,80.8688021061869241,84.1597191750767881,90.8293111013602457,97.4989030276437034,100.0000000000000000,100.0000000000000000,100.0000000000000000
2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-03-01,1,1,1,1,1,3,4,4,5,7,28,48,48,48,11.0788863109048724,18.5034802784222738,23.8399071925754060,33.1786542923433875,51.2761020881670534,64.6171693735498840,73.4338747099767981,78.7412993039443155,83.0916473317865429,91.5023201856148492,97.6218097447795824,100.0000000000000000,100.0000000000000000,100.0000000000000000
2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-04-01,1,1,1,1,2,3,3,3,4,9,25,51,55,55,5.7488207547169811,10.9964622641509434,16.0966981132075472,25.7665094339622642,42.7771226415094340,55.7783018867924528,65.5070754716981132,72.9658018867924528,78.3313679245283019,87.9127358490566038,94.8113207547169811,99.4398584905660377,100.0000000000000000,100.0000000000000000
